,ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
11566,41217,Pianoman,PIANOMAN,Unknown,"The still, white space expands as far as the eye can see. A man who's lost his memory awakens. An enormous door stands before him, and there's an old temple in the distance. The building seems to be calling to him, and the man approaches it. There's an old piano there. The moment he touches it, horrifying memories return to him. Who is this man, really? And what is the truth of this space...?

(Source: YouTube)",ONA,1.0,Finished Airing,"Jan 17, 2020",Not Available,Unknown,Unknown,Echoes,Original,Fantasy,"Music, Mythology, Psychological",Unknown,5.0,PG-13 - Teens 13 or older,6.331,608.0,73062.0,11577,1135,1,2020.0
20194,44623,Mo Jing Lieren 5th Season,魔晶猎人 第五季,Armored Adventure 5th Season,Unknown,ONA,26.0,Finished Airing,"Jan 17, 2020",Unknown,Unknown,Unknown,Unknown,Original,"Adventure, Fantasy",Unknown,Unknown,13.0,PG-13 - Teens 13 or older,,,135342.0,20222,47,0,2020.0
11961,47403,Kuiba Zhi Shu Tu,魁拔之殊途,Unknown,"The story takes place in Lingshan, where a group of ""hopeless"" people are gathered on the earth. Most of them are poor, vicious, or extremely evil, abandoned by the society in Lingshan. This is where the fourth generation of Kuiba Mi Lin was born. 

The Heavens struggled to find Kuiba to no avail. In order to eliminate Kuiba, the Heavens determined to blast Lingshan into the ground. Mi Lin rose from the predicament, and his spirit gradually awakened souls with flesh and blood in Lingshan. Mi Lin led the Lingshan Army to sweep across the world, against the Heavens, and became the overlord of the world.

(Source: Tencent, translated)",ONA,7.0,Finished Airing,"Jan 17, 2021","Feb 21, 2021",Tencent Penguin Pictures,Unknown,Vasoon Animation,Novel,"Adventure, Fantasy",Unknown,Unknown,22.0,None,,,194022.0,11974,982,18,2021.0
9932,39057,A New Journey,A New Journey,Unknown,"League of Legends commercial animated by P.A. Works, published on League of Legends YouTube channel.",ONA,1.0,Finished Airing,"Jan 18, 2019",Not Available,Unknown,Unknown,P.A. Works,Game,Action,Video Game,Unknown,1.0,PG-13 - Teens 13 or older,6.071,1140.0,86662.0,9944,2106,4,2019.0
5211,39042,Gaki ni Modotte Yarinaoshi!!!,ガキにもどって犯りなおしっ!!!,Unknown,"Ever since he was a kid, women have bullied Boku, which marks him so that he stays stuck in the past and becomes unable to move on with his life. One day, his childhood crush, Kasumi, invites him to her wedding. As he watches everyone around him lead a happy adult life, Boku realizes he has been left behind, causing him to wish he could start his life all over again.

Somehow, this desire comes true, and he ends up traveling back in time to his preteen days. He soon meets Sera Narumiya, his past neighbor, who frequently harassed him throughout his school days. Given an opportunity to redo his life, Boku decides to confront his past problems, but now with the mentality of an adult—this includes, of course, a more sexual approach when dealing with troublesome women.

[Written by MAL Rewrite]",ONA,2.0,Finished Airing,"Jan 18, 2019","Sep 20, 2019",Unknown,Unknown,SELFISH,Web manga,Hentai,School,Unknown,19.0,Rx - Hentai,6.951,6188.0,,5216,12558,104,2019.0
19962,48004,Huayu Cheng Xing 3,花语程行3,Unknown,Unknown,ONA,12.0,Finished Airing,"Jan 18, 2020",2020,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,5.0,G - All Ages,,,185552.0,19988,52,0,2020.0
877,41094,Xian Wang de Richang Shenghuo,仙王的日常生活,The Daily Life of the Immortal King,"As a cultivation genius who has achieved a new realm every two years since he was a year old, Wang Ling is a near-invincible existence with prowess far beyond his control. But now that he’s sixteen, he faces his greatest battle yet – Senior High School. With one challenge after another popping up, his plans for a low-key high school life seem further and further away…

(Source: Novel Updates)",ONA,15.0,Finished Airing,"Jan 18, 2020","Mar 28, 2020",Unknown,bilibili,Haoliners Animation League,Light novel,"Adventure, Comedy, Fantasy, Slice of Life","Mythology, School",Unknown,19.0,PG-13 - Teens 13 or older,7.331,109079.0,23372.0,878,232184,1729,2020.0
15381,50849,Jing Cui Xian Zun,晶翠仙尊,The Tale of The Spirit Stone,"At the beginning of chaos, the world was divided into three realms: the realm of deities, the realm of men, and the realm of demons. The realm of deities sent a spirit seed down into the world to help the common people. But the spirit seed continuously absorbed the evil of the world and cruelly harmed living things. In the end, Sen Luo, the king of the deities, sacrificed himself and sealed it. However, because of it, the Shangqing Xianmen, where the realm of deities is located, gradually waned and was lost in history. A thousand years later, the ruins of Shangqing Xianmen started to appear in succession. All major sects fought their hardest for possession of the treasures in the ruins.

(Source: Narul Donghua)",ONA,40.0,Currently Airing,"Jan 18, 2022",Unknown,Youku,Unknown,Soyep,Original,"Action, Adventure, Fantasy",Martial Arts,Unknown,10.0,PG-13 - Teens 13 or older,,,187992.0,15404,343,1,2022.0
17330,30556,Funassyi to Yukaina Kyoudai,ふなっしーとゆかいな兄弟,Unknown,Unknown,ONA,4.0,Finished Airing,"Jan 19, 2015","Sep 28, 2015",Bandai,Unknown,Unknown,Unknown,Comedy,Unknown,Kids,3.0,G - All Ages,,,179082.0,17354,210,0,2015.0
17816,48872,With Pochi! Yoshi's Woolly World Special Anime,ポチと! ヨッシー ウールワールド スペシャルアニメ,Unknown,"A series of stop-motion shorts that came bundled within the Poochy & Yoshi's Woolly World 3DS game.

(Source: Anilist)",ONA,31.0,Finished Airing,"Jan 19, 2017",Not Available,Nintendo,Unknown,dwarf,Game,"Comedy, Slice of Life",Unknown,Unknown,34.0,G - All Ages,,,159652.0,17842,181,0,2017.0
16478,37145,Morimori Shima no Mogu to Perol,モリモリ島のモーグとペロル,Mogu&Perol,Mogu is always making tasty dishes but Perol is taking far more than his share. One day Moog is looking to collect some berries (to make into a cake) but Perol eats some off the bush raw. They taste sour and Perol thinks Moog tricked him and claims they aren't friends anymore. Perol stops visiting but he becomes quite zombie-like and Moog misses his company too.,ONA,1.0,Finished Airing,"Jan 19, 2018",Not Available,Unknown,Unknown,dwarf,Original,Unknown,Unknown,Kids,8.0,G - All Ages,,,136012.0,16503,263,0,2018.0
13997,37143,Alphard x Taka no Tsume,アルファード×鷹の爪,Unknown,"A collaboration between Taka no Tsume and Toyopet's Alphard car store launching in Ibaraki, Saitama, and Okayama. Collaborative goods will be sold on January 20+21 for at the stores as well.",ONA,3.0,Finished Airing,"Jan 19, 2018",Not Available,Unknown,Unknown,DLE,Original,Unknown,"Parody, Racing",Unknown,3.0,G - All Ages,4.971,164.0,124262.0,14017,493,2,2018.0
16945,37144,Nikuiyo! Galbi-kun: Kemuri ga Me ni Shimiru,ニクいよっ！カルビくん～煙が目にしみる～,Unknown,A short gag anime about yakiniku meat on a grill. It primarily focuses on Galbi-kun (beef short rib) who admires a higher cut of meat and tries to change his demeanor to be more refined.,ONA,5.0,Finished Airing,"Jan 19, 2018","May 17, 2018",Unknown,Unknown,dwarf,Original,Comedy,Unknown,Unknown,2.0,G - All Ages,,,138652.0,16970,232,0,2018.0
17429,50797,Mao Xian Dong De Shou!,猫先动的手！,Unknown,Unknown,ONA,15.0,Finished Airing,"Jan 19, 2022","Mar 5, 2022",Unknown,Unknown,Unknown,Original,"Comedy, Slice of Life",Unknown,Unknown,4.0,PG-13 - Teens 13 or older,,,132912.0,17454,205,0,2022.0
20873,47559,Shenye Yu Tang,深夜渔堂,Unknown,Unknown,ONA,24.0,Finished Airing,"Jan 2, 2018","Jun 6, 2018",Unknown,Unknown,Unknown,Original,"Comedy, Fantasy",Anthropomorphic,Unknown,4.0,G - All Ages,,,148902.0,20905,31,0,2018.0
10134,40991,Xue Ying Ling Zhu Zhi Qi Yu Pian,雪鹰领主之奇遇篇,Unknown,Unknown,ONA,4.0,Finished Airing,"Jan 2, 2020","Jan 23, 2020",Tencent Penguin Pictures,Unknown,Mili Pictures,Novel,"Action, Adventure, Fantasy, Romance","Historical, Martial Arts",Unknown,18.0,PG-13 - Teens 13 or older,7.231,889.0,28012.0,10146,1961,7,2020.0
17565,53008,Nengajou 2021: Mugen Shougatsu,年賀状２０２１（無限正月）,Unknown,A short animation by Arawi Keiichi to celebrate the New Year.,ONA,1.0,Finished Airing,"Jan 2, 2021",Not Available,Unknown,Unknown,Unknown,Original,Slice of Life,Music,Unknown,2.0,G - All Ages,,,138292.0,17590,198,1,2021.0
5354,42862,Otona no Bouguya-san II,おとなの防具屋さんII,Armor Shop for Ladies and Gentlemen II,Second season of Otona no Bouguya-san.,ONA,12.0,Finished Airing,"Jan 2, 2021","Mar 20, 2021",Unknown,Unknown,IMAGICA Lab.,4-koma manga,"Comedy, Fantasy, Ecchi",Unknown,Unknown,6.0,PG-13 - Teens 13 or older,5.481,4167.0,111642.0,5359,11630,7,2021.0
17670,37337,Sara Ke Puccho,サラ毛ぷっちょ,Unknown,UHA Mikakutou is a candy company that makes a chewy confectionery called Puccho. The candy has mascots and the company collaborated with Ryou Inoue for an anime short with these mascots in a Revolutionary Girl Utena inspired feature. Special LINE stamps were also available in honor of the collaboration.,ONA,1.0,Finished Airing,"Jan 20, 2015",Not Available,Unknown,Unknown,Unknown,Original,Unknown,Parody,Unknown,4.0,G - All Ages,,,147152.0,17695,191,0,2015.0
4014,37150,Douluo Dalu,斗罗大陆,Unknown,"Tang San is one of Tang Sect martial art clan's most prestigious disciples and peerless in the use of hidden weapons. With high expectations, the sect's elders believe his future will be bright; yet Tang chooses to forsake this life at the cost of obtaining the sect's forbidden lore—an action punishable by death. Tang, now content with his ascension of knowledge, sees no reason to keep on living and jumps from Hell's Peak, but little did he know that that would not be the end of his existence. 

In Douluo Continent, the strong prevail and the weak perish. Each person possesses an innate spirit, some of which can be cultivated and strengthened, bestowing its user with various benefits. Those who were born with such spirits can become Spirit Masters, a profession regarded as one of the continent's most noble.

Tang, reincarnated into this strange world, knows only the life of a blacksmith's son. At the age of six, he takes part in the Spirit Master ceremony, and discovers his spirit is Blue Silver Grass—supposedly the world's most useless spirit. In contrast, however, he possesses strong spirit power. Now, aided by the memories of his previous life as well, Tang's future as a Spirit Master is in no way bleak.

[Written by MAL Rewrite]",ONA,26.0,Finished Airing,"Jan 20, 2018","Jul 14, 2018",Tencent Penguin Pictures,Unknown,Sparkly Key Animation Studio,Novel,"Action, Adventure, Fantasy, Romance","Historical, Martial Arts, Reincarnation",Unknown,20.0,PG-13 - Teens 13 or older,7.861,9499.0,7622.0,4017,23389,431,2018.0
14732,36856,Tomica Hyper Rescue Drive Head: Kidou Kyuukyuu Keisatsu (ONA),トミカハイパーレスキュー ドライブヘッド 機動救急警察 (2018),Unknown,Unknown,ONA,7.0,Finished Airing,"Jan 20, 2018","Jul 21, 2018",TBS,Unknown,OLM,Other,"Adventure, Sci-Fi","Detective, Mecha",Unknown,15.0,PG - Children,,,156352.0,14754,400,2,2018.0
12887,50441,Qian Cong Shou,千从狩,The Indomitable,Unknown,ONA,16.0,Finished Airing,"Jan 20, 2022","Apr 28, 2022","bilibili, BeDream",Unknown,Unknown,Original,"Action, Fantasy, Sci-Fi",Unknown,Unknown,19.0,PG-13 - Teens 13 or older,6.491,151.0,64562.0,12901,722,3,2022.0
14475,50271,Hua Jianghu: Bu Liang Ren V,画江湖之不良人 V,Unknown,Fifth season of Hua Jianghu: Bu Liang Ren.,ONA,12.0,Finished Airing,"Jan 20, 2022","Mar 31, 2022","Beijing Rocen Digital, Tencent Penguin Pictures",Unknown,Unknown,Original,"Drama, Fantasy, Romance","Historical, Martial Arts",Unknown,,PG-13 - Teens 13 or older,,,185282.0,14497,427,1,2022.0
9201,33281,Mori no Andou,森の安藤,Unknown,"A penguin named Andou protects the forest and its animal inhabitants from the evil humans (or the ""cancer of the Earth"" as one sign in The Animal House reads). However, some of the animals suspect that Ando himself may be a human.",ONA,1.0,Finished Airing,Jan 2006,Not Available,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Unknown,5.0,PG - Children,5.961,1697.0,92472.0,9210,2760,36,2006.0
10759,8936,Melody,メロディ,Unknown,A short in which a young anthropomorphic rabbit tries to overcome the loss of his mother.,ONA,1.0,Finished Airing,Jan 2008,Not Available,Unknown,Unknown,Unknown,Unknown,Drama,Unknown,Unknown,8.0,G - All Ages,5.801,724.0,99432.0,10771,1554,1,2008.0
9614,11883,Nendo no Tatakai 2,ねんどのたたかい２,Battle of Clay 2,"Two men are playing rock-paper-scissors, but this version has a painful twist: whoever loses the round will be whacked on the head with a mallet. A bowl will offer them protection from the blow but only if they are quick enough to grab it. Tension builds as the game begins. What will the outcome be?

[Written by MAL Rewrite]",ONA,1.0,Finished Airing,"Jan 21, 2004",Not Available,Unknown,Unknown,Unknown,Original,"Action, Comedy",Unknown,Unknown,1.0,PG-13 - Teens 13 or older,3.201,1613.0,130962.0,9625,2368,3,2004.0
14830,36636,Ankoku Cat VS,暗黒キャットVS,Unknown,The sequel to the Ankoku Cat ONA series.,ONA,3.0,Finished Airing,"Jan 21, 2011","Jan 9, 2012",Unknown,Unknown,Fanworks,Original,"Action, Comedy",Unknown,Unknown,5.0,G - All Ages,5.581,139.0,108132.0,14854,391,0,2011.0
14811,10323,Golden★Kids,ゴールデン★キッズ,Unknown,"The Koganedai Downtown FC Golden Kids haven't won a single game since they formed. The captain and goal keeper, Goal Kitagawa is determined to win a game with the current members before he moves away next month. However, even after all the determination to win the next game they lose terribly, extending their losing streak to 22 games. Even the adults in the community who support the team begin to get fed up with all the losses.

At school, the constantly losing Golden Kids members start to get picked on and bullied, and the adults worry that the bullying will only get worse. When the team members become depressed and lose their will to play, they see Goal practicing outside, silently and as hard as he can. Once again, the Golden Kids start to practice intensely to get that one win. The next game for the Golden Kids will be against the second best team in the Jonan League, the Wild Tigers.

Will the Golden Kids finally get their first win ever? What will the adults decide to do with the team?

(Source: Official Website)",ONA,2.0,Finished Airing,"Jan 21, 2011",Not Available,Unknown,Unknown,Unknown,Unknown,Sports,"School, Team Sports",Unknown,11.0,G - All Ages,,,180902.0,14834,393,0,2011.0
16689,35307,Shiseido x Kamiusagi Rope,資生堂×紙兎ロペ,Unknown,"A collaboration between Kamiusagi Rope and two of Shiseido's product lines: Anessa and Fullmake Washable Base (FWB). These episodes were included on the 6th DVD of Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!? as episode 23 and 24 released on March 18, 2015.",ONA,2.0,Finished Airing,"Jan 21, 2014","Jun 21, 2014",Unknown,Unknown,Unknown,Original,"Comedy, Slice of Life",Unknown,Unknown,3.0,G - All Ages,,,150132.0,16714,247,0,2014.0
11364,38285,Zuori Qing Kong Pilot,昨日青空（动画样片）,Crystal Sky of Yesterday,"In the late 90's, in China, Tu Xiaoyi, an high school student, takes no interest in marks and prefers to play video games with his friend nicknamed ""Peanut."" One day, he was chosen by his teacher to become the class representative with Yao Zhetian, a very cute girl. He will experience his first love and disappointments.",ONA,1.0,Finished Airing,"Jan 21, 2014",Not Available,Unknown,Unknown,Seven Stone Entertainment,Manga,"Drama, Romance, Slice of Life",School,Unknown,4.0,PG-13 - Teens 13 or older,5.911,327.0,94892.0,11376,1237,1,2014.0
18352,48899,Shouji Li de Huanxiong Xiao Zhen,手机里的浣熊小镇,Raccoon Town in the Phone,"This is a story about a group of cute little animals that live in human cell phones and work hard to keep cell phones functioning properly so that people can maintain communication with others, keep in contact with the world, and gain a sense of happiness. The raccoon town in the cell phone is like a miniature human society, where there are various institutions and systems such as police stations, hospitals, entertainment venues, restaurants, air transport, public transport, etc., and of course, there is culture and festivals as well.

(Source: bilibili, translated)",ONA,26.0,Finished Airing,"Jan 21, 2021","Jul 8, 2021",bilibili,Unknown,TthunDer Animation,Web manga,"Comedy, Slice of Life",Unknown,Unknown,6.0,PG-13 - Teens 13 or older,,,150292.0,18378,151,0,2021.0
15922,50419,Gudetama: Muhоu Chitai de Jiyuu mo Fujiyuu,ぐでたま～無法地帯で自由も不自由～,Gudetama Freestyle,Web shorts focusing on the Sanrio character Gudetama.,ONA,,Currently Airing,"Jan 21, 2021",Unknown,Sanrio,Unknown,Gathering,Original,"Comedy, Slice of Life",Parody,Unknown,2.0,G - All Ages,,,181372.0,15945,302,0,2021.0
3015,45556,Wu Liuqi Zhi Xuanwu Guo Pian,伍六七之玄武国篇,Scissor Seven Season 3,"In order to protect the residents of Xiaoji Island and the peaceful life here, Wu Liuqi and his partners Dabao and Xiaofei embark on a journey to the Xuanwu Kingdom to find out the truth about his identity and a way to save the island. Waiting for them is more unknowns and adventures.

(Source: bilibili, edited)",ONA,10.0,Finished Airing,"Jan 21, 2021","May 5, 2021","Sharefun Studio, AHA Entertainment",Unknown,Unknown,Original,"Action, Adventure, Comedy, Drama, Mystery","Martial Arts, Super Power",Unknown,16.0,R - 17+ (violence & profanity),8.441,22728.0,1432.0,3017,41286,641,2021.0
7982,49942,Tales of Luminaria: The Fateful Crossroad,TALES OF LUMINARIA The Fateful Crossroad,Tales of Luminaria the Fateful Crossroad,"Long ago, this land was home to beasts the size of mountains that have now become petrified. Mana overflowed from their remains, drawing people who sought its power, and civilizations sprang up. People came to revere these mana-producing creatures, which they named 'Primordial Beasts'. They built their lives around them. Thus began the worship of the Primordial Beasts.

Time flowed ever onward, to the present day... War erupts between the Jerle Federation, an alliance of countries who worship the Primordial Beasts, and the Gildllan Empire, which has enjoyed explosive development thanks to advanced technology. The fires of war burn ever brighter.

The special animated feature will tell an important juncture in the story of Luminaria, congealing and bringing to life the game's theme of ""confronting antagonistic ideas of justice""!

(Source: Official website)",ONA,2.0,Finished Airing,"Jan 21, 2022",Not Available,Unknown,Unknown,"Anima, Kamikaze Douga",Game,Fantasy,Unknown,Unknown,27.0,PG-13 - Teens 13 or older,6.171,1428.0,81772.0,7989,4342,11,2022.0
7514,50673,Pokemon (2019): Kami to Yobareshi Arceus,ポケットモンスター 神とよばれし アルセウス,Unknown,A 4-episode special web-series that was streamed exclusively on Amazon Prime Video to celebrate the release of the Nintendo Switch game Pokémon Legends: Arceus.,ONA,4.0,Finished Airing,"Jan 21, 2022","Jan 28, 2022",Unknown,Unknown,OLM,Game,"Action, Adventure, Comedy, Fantasy",Unknown,Unknown,18.0,PG - Children,6.831,1973.0,46512.0,7520,5091,8,2022.0
12725,28591,Timbre A to Z,Timbre A to Z,Unknown,A series of short films where Mirai Mizuki uploaded one abstract representation of a letter of the alphabet every day for 26 days.,ONA,26.0,Finished Airing,"Jan 22, 2011","Feb 16, 2011",Mirai Film,Unknown,Unknown,Original,Avant Garde,Music,Unknown,30.0,G - All Ages,4.571,409.0,128662.0,12739,757,0,2011.0
19873,51621,Heroes: Battle Disk Densetsu,ヒーローズ ~バトルディスク伝説~,Heroes Legend of Battle Disks,Unknown,ONA,26.0,Finished Airing,"Jan 22, 2013",Unknown,Unknown,Unknown,Unknown,Original,Sci-Fi,"Mecha, Strategy Game",Unknown,23.0,G - All Ages,,,183612.0,19898,54,0,2013.0
18708,42458,Gonfu Tu Yu Cai Bao Gou 2nd Season,功夫兔与菜包狗 第二季,Kung Fu Bunny,Second season of Gonfu Tu Yu Cai Bao Gou.,ONA,10.0,Finished Airing,"Jan 22, 2020",Not Available,Unknown,Unknown,Benlai Pictures,Original,Comedy,Unknown,Unknown,5.0,PG - Children,,,180972.0,18734,128,0,2020.0
20399,47572,Huang Doujun,黄逗菌,Huang Doujun,Unknown,ONA,,Currently Airing,"Jan 22, 2021",Unknown,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Unknown,1.0,G - All Ages,,,185442.0,20424,43,0,2021.0
12789,45557,Chang Jian Feng Yun,长剑风云,Unknown,Unknown,ONA,10.0,Finished Airing,"Jan 22, 2021","Mar 19, 2021",bilibili,Unknown,Xuni Yinxiang Gongzuo Shi,Original,"Action, Drama",Unknown,Unknown,15.0,PG-13 - Teens 13 or older,6.111,160.0,84972.0,12803,743,3,2021.0
8493,36875,Akuma no Memumemu-chan,悪魔のメムメムちゃん,Unknown,"The gag manga depicts the everyday life of the demon Memumemu-chan, who appears before the high school student Hyouta one day. She's come to seduce men and steal their souls, however, has neither the motivation nor the ability to carry out her duty. The story revolves around Memumemu, Hyouta, who is often misunderstood as a lolicon due to Memumemu, and the super sexy mother-daughter duo who manages the apartment Hyouta resides in.

(Source: MAL News)",ONA,1.0,Finished Airing,"Jan 23, 2018",Not Available,Unknown,Unknown,Shaft,Manga,"Comedy, Ecchi",Mythology,young boy,5.0,PG-13 - Teens 13 or older,5.581,1736.0,108102.0,8501,3587,2,2018.0
11193,50667,Xingchen Bian: Po Tian Mi Ju,星辰变 破天迷局,Unknown,"Among the treasures from the Immortal Manor, Qin Yu, along with venturers from other sects, find clues relating to the Ni Yang Realm, a realm of the Immortal Emperor Ni Yang. When Jiang Li is forced to return home, Jiang Lan decides to go back for her. Before leaving, he gives a parting gift to Qin Yu, one that may help him meet her. Setting out to the Ni Yang Realm, Qin Yu faces various ordeals before he gains knowledge on the strength he will be needing in order to meet Jiang Li again.

[Written by MAL Rewrite]
",ONA,16.0,Finished Airing,"Jan 23, 2022","Apr 24, 2022",Tencent Penguin Pictures,Unknown,Shanghai Foch Film and TV Culture Investment,Novel,"Action, Adventure, Fantasy, Romance",Martial Arts,Unknown,25.0,PG-13 - Teens 13 or older,7.661,522.0,12042.0,11205,1319,14,2022.0
827,5060,Hetalia Axis Powers,ヘタリア Axis Powers,Hetalia Axis Powers,"In a tumultuous era of World Wars and general uncertainty for the future, Germany did not expect that his only constant allies would be North Italy and Japan. Despite being a descendant of the once-powerful Ancient Rome, North Italy is weak, useless, and overly in love with pasta. In contrast, Japan is reliable and pragmatic, but has strange obsessions that would bewilder anyone. Believing he drew the short end of the straw, Germany must think of a way to make this unlikely alliance work.

To rub salt into the wound, the chaotic Allied Forces arrive, determined to stop the Axis Powers in their tracks. While they all share a common goal, none of the Allies can set aside their centuries of differences to fight as a cohesive front. As conflicts continue, these personified nations act out the events of World Wars I and II in a comedic and entertaining manner.

[Written by MAL Rewrite]
",ONA,52.0,Finished Airing,"Jan 24, 2009","Mar 5, 2010","Frontier Works, DAX Production",Funimation,Studio Deen,Web manga,Comedy,"Anthropomorphic, Gag Humor, Historical, Parody",Unknown,5.0,PG-13 - Teens 13 or older,7.291,123144.0,25352.0,828,245882,4246,2009.0
16355,44570,Xiong Bing Lian: Zhi Zhu Tian Jianglin,雄兵连II诸天降临,Unknown,Unknown,ONA,26.0,Finished Airing,"Jan 24, 2019",2019,Unknown,Unknown,Unknown,Original,"Action, Mystery, Sci-Fi, Supernatural","Military, Space",Unknown,15.0,R - 17+ (violence & profanity),,,162502.0,16380,272,1,2019.0
4367,39188,Xie Wang Zhui Qi,邪王追妻,Unknown,"She, a renowned assassin of the 21st century, actually crossed over to become Su Manor’s most useless good-for-nothing Fourth Miss.

He, Jin Empire’s imperial highness, was an emotionless overbearing demonic tyrant with unrivaled talent.

Everyone knew that she was idiotic and good-for-nothing and bullied her as they pleased. But only he, the overbearing tyrant with the discerning eye, wouldn’t let go of her even if his life depended on it.

For the time being, let’s just see how the stubborn versus stubborn clash and play out in this good show of the chaser and the chased.

(Source: Official Webnovel)",ONA,13.0,Finished Airing,"Jan 24, 2019","Apr 11, 2019",iQIYI,Unknown,"KJJ Animation, BigFireBird Animation",Novel,"Action, Comedy, Drama, Fantasy, Romance",Martial Arts,Unknown,13.0,PG-13 - Teens 13 or older,6.761,6723.0,49992.0,4371,19408,143,2019.0
11765,49134,RabbiTube: Creator ni Challenge!,『RabbiTube』クリエイターにチャレンジ！,Unknown,Short videos are released each month on YouTube to celebrate the character's birthdays.,ONA,16.0,Finished Airing,"Jan 24, 2020","Dec 5, 2021",Bandai Namco Online,Unknown,DandeLion Animation Studio,Game,Comedy,Idols (Male),Unknown,9.0,G - All Ages,7.151,281.0,32102.0,11777,1056,10,2020.0
13624,41135,Dream,Dream,Dream,"The short follows the dream of a young boy in which strange whale teleports him to a fantasy land where a happy cat named Pero (modeled after the character in the Nagagutsu wo Haita Neko anime that serves as Toei Animation's mascot) appears.

The piece is entirely dialogueless.

(Source: ANN edited)",ONA,1.0,Finished Airing,"Jan 24, 2020",Not Available,Unknown,Unknown,Toei Animation,Original,"Adventure, Fantasy",Music,Kids,6.0,G - All Ages,5.871,244.0,96732.0,13642,558,0,2020.0
10129,41211,Fukai ni Nemuru Oujo no Abaddon The Animation,腐界に眠る王女のアバドーン THE ANIMATION,Unknown,Unknown,ONA,1.0,Finished Airing,"Jan 24, 2020",Not Available,Unknown,Unknown,Peak Hunt,Game,Hentai,Unknown,Unknown,24.0,Rx - Hentai,5.601,637.0,,10141,1968,1,2020.0
14101,48570,"Rainbow Finder: Tokimeki wa, Sugu Soba ni.",レインボーファインダー ～ときめきは、すぐそばに。～,Unknown,"Advertisements for 7-Eleven, highlighting the small encounters of some students that lighten up the day.",ONA,3.0,Finished Airing,"Jan 24, 2021","Mar 24, 2021",Unknown,Unknown,The Answer Studio,Original,"Romance, Slice of Life",Unknown,Unknown,1.0,PG-13 - Teens 13 or older,,,144972.0,14122,474,0,2021.0
7219,17871,Yonhyaku-nijuu Renpai Girl,四百二十連敗ガール,"If I don't successfully pick up 420 girls, I am going to die in a lot of different ways.","Promotion video for Naruto Kiriyama's light novel Yonhyakunijuu Renpai Girl, commissioned by Enterbrain after Kiriyama won the 14th Entertainment Awards Grand Prize (Entame Taishou) from the publisher's light novel department.",ONA,1.0,Finished Airing,"Jan 25, 2013",Not Available,Unknown,Kadokawa,Trigger,Light novel,"Comedy, Romance",School,Unknown,2.0,PG-13 - Teens 13 or older,5.741,2027.0,102142.0,7224,5543,10,2013.0
2280,15195,Hetalia: The Beautiful World,ヘタリア The Beautiful World,Hetalia The Beautiful World,"Few people wonder what occurs between warring nations when they are not fighting each other. In Hetalia, the countries find themselves outside of their usual setting: working together in a school newspaper club, reminiscing about former historical figures, and searching for Santa Claus? With the potential for comedic calamity always around the corner, there is no predicting what exactly these adventures entail!

[Written by MAL Rewrite]",ONA,20.0,Finished Airing,"Jan 25, 2013","Jun 21, 2013",Frontier Works,Funimation,Studio Deen,Web manga,Comedy,"Anthropomorphic, Gag Humor, Historical, Parody",Unknown,5.0,PG-13 - Teens 13 or older,7.441,32947.0,18612.0,2281,68417,559,2013.0
20758,44557,Baozou LOL,暴走撸啊撸,Unknown,Unknown,ONA,12.0,Finished Airing,"Jan 25, 2015",2015,Unknown,Unknown,Unknown,Game,"Comedy, Fantasy",Parody,Unknown,3.0,PG-13 - Teens 13 or older,,,170382.0,20788,33,0,2015.0
1591,37033,Emiya-san Chi no Kyou no Gohan,衛宮さんちの今日のごはん,Today's Menu for the Emiya Family,"With the threat of the Holy Grail War no longer looming over Fuyuki City, its inhabitants can finally enjoy a time of peace. Now that all of the Masters and Servants have adjusted to their new mundane lives, Shirou has taken it upon himself to cook for his household and show Saber the wonders of modern cuisine. Every day, he ventures into the marketplace to see what kind of different meals he can cook up with unique ingredients and a limited budget. However, his legendary skills often attract uninvited guests from all over the city, so there is never a dull moment at dinner with the Emiya family.

As his guests entertain themselves in the living room, Shirou walks through the step-by-step process of creating some of his favorite meals. With delicacies such as his savory New Year soba with shrimp tempura, steamy foil-baked salmon, and cheesy bamboo shoot gratin, everything is up for grabs on his menu. Itadakimasu!

[Written by MAL Rewrite]",ONA,13.0,Finished Airing,"Jan 25, 2018","Jan 1, 2019","Aniplex, Kadokawa",Aniplex of America,ufotable,Manga,"Comedy, Gourmet, Slice of Life",Iyashikei,Unknown,13.0,PG-13 - Teens 13 or older,7.801,52318.0,8782.0,1592,117157,673,2018.0
15587,39410,AOTU Shijie 3,凹凸世界 3,Unknown,Unknown,ONA,40.0,Finished Airing,"Jan 25, 2019","Jun 19, 2020",7doc,Unknown,Unknown,Web manga,"Action, Adventure, Fantasy, Sci-Fi",Super Power,young boy,18.0,PG-13 - Teens 13 or older,,,168582.0,15610,325,3,2019.0
