,ID,Title,Japanese,English,Synopsis,Type,Episodes,Status,Start_Aired,End_Aired,Producers,Licensors,Studios,Source,Genres,Themes,Demographics,Duration_Minutes,Rating,Score,Scored_Users,Ranked,Popularity,Members,Favorites,year
20689,44502,Da Hei Xiao Bai,大黑小白,Unknown,Unknown,ONA,5.0,Finished Airing,2005,Not Available,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Kids,1.0,G - All Ages,,,175032.0,20717,34,0,2005.0
18247,29742,Butazuka,ブタヅカ,Unknown,"Butazuka (Pig Mound) was born after TEI took part in designing toys for Sony Creative Products in 2003 for their virtual animation series, Vanimal Zoo. In 2005, its 3D animation was broadcast by Yahoo! JAPAN. In December that same year, a Butazuka DVD featuring 13 stories was released by VAP.

(Source: Okosama-Star Inc.)",ONA,13.0,Finished Airing,2005,Not Available,Milky Cartoon,Unknown,Unknown,Unknown,Slice of Life,Unknown,Unknown,2.0,PG - Children,,,172092.0,18273,157,0,2005.0
13718,7423,"The Tales of Rien Village #1: ""Toilet ni Ittokiya""",rien村物語 #1 「トイレにいっときやー」,Unknown,"A gentle children’s story concerning the ceramic inhabitants of Rein Village. Fortune Malon has many visitors who come for advice which may or not be helpful. One night an elephant calf comes and visits Fortune Malon with a rather embarrassing predicament.
",ONA,1.0,Finished Airing,2005,Not Available,The Village of Marchen,Unknown,Unknown,Original,Fantasy,Unknown,Unknown,3.0,G - All Ages,5.241,263.0,119072.0,13736,538,0,2005.0
17643,29743,Buonomo,ボーノーモ,Unknown,Follows living pasta characters.,ONA,13.0,Finished Airing,2005,2006,Milky Cartoon,Unknown,Unknown,Unknown,Slice of Life,Unknown,Unknown,2.0,G - All Ages,,,172032.0,17668,193,0,2005.0
18264,29741,Shitamachi Alien PapiPipiPupi,下町エイリアン パピピピプピ,Unknown,Unknown,ONA,13.0,Finished Airing,2005,2006,"VAP, Milky Cartoon",Unknown,Unknown,Unknown,Sci-Fi,Unknown,Unknown,2.0,G - All Ages,,,150192.0,18290,156,1,2005.0
13448,4660,Yoshino no Hime,吉野の姫制,The Princess of Yoshino,"A girl prays to the Princess of Yoshino for a cherry to be in full bloom tomorrow. That is because the Princess is one of the spirit family governing all the cherries in the world and because the brother of the girl will go campaigning tomorrow.

Since it's a ONA click on website to watch the video in raw Japanese.",ONA,1.0,Finished Airing,2005,Not Available,Maru Production,Unknown,Unknown,Original,"Comedy, Fantasy, Slice of Life",Historical,Unknown,8.0,G - All Ages,5.681,255.0,104792.0,13466,591,1,2005.0
11521,5880,Oshiruko,おしるこ,Red Bean Soup,A young man tries to get a cold drink on an extremely hot day. ,ONA,1.0,Finished Airing,2005,Not Available,Space Neko Company,Unknown,Unknown,Original,Comedy,Unknown,Unknown,1.0,G - All Ages,5.041,687.0,123202.0,11533,1151,0,2005.0
6424,5085,Nakedyouth,Nakedyouth,Naked Youth,"In Nakedyouth, Shishido takes us on a journey through the uncertainty and excitement of young love and homoerotic love. These gentle films quiver with sexual tension, which is linked to the natural world: trees reflecting on the surface of a pond, butterflies fluttering in the breeze.",ONA,1.0,Finished Airing,2006,Not Available,Kojiro Shishido Animation Works,Unknown,Unknown,Original,"Boys Love, Romance, Slice of Life, Sports",Unknown,Unknown,9.0,R+ - Mild Nudity,5.721,3618.0,102592.0,6430,7475,11,2006.0
13617,29973,Aya Hito Shiki to Iu na no Ishi Hata,彩人四季という名の意思畑,Unknown,"Short animation by Taro Shinkai.
",ONA,1.0,Finished Airing,2006,Not Available,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,5.0,G - All Ages,4.261,274.0,129942.0,13635,559,0,2006.0
10892,3960,Armored Core: Fort Tower Song,ARMORED CORE -FORT TOWER SONG-,Unknown,"Originally meant to be a 2 episode OVA based on the Armored Core: Last Raven game, but the project was cancelled due to View Works shutting down. A trailer is all that is left of this project, which is what this entry encompasses.

(Source: AniDB)",ONA,1.0,Finished Airing,2006,Not Available,Aniplex,Unknown,Unknown,Game,"Action, Sci-Fi",Mecha,Unknown,1.0,PG-13 - Teens 13 or older,4.561,441.0,128682.0,10904,1478,1,2006.0
14380,26017,Backkom Specials,빼꼼,Unknown,"ONAs posted on the official site of RG Studios' page and the director's youtube page that feature Backkom shorts that never made it to the main series nor the the DVD release of the main series.

This entry is composed of:
Backkom Feature Trailer - Backkom falling through the roof of CGV; the largest cinema chain in Korea, then taking a seat in the first row of the theater. (2007, 39 sec)
Backkom Filler Animation - Backkom at a library. (2008, 53 sec)
Backkom Song!! - Backkom jumping on a trampoline to a song. (2009, 30 sec)
Backkom's Friends - Backkom causing a chain reaction toppling various characters in the Backkom franchise and in Sheep in the Island. (2009, 40 sec)
Super Backkom - Backkom changing into his Super Backkom form in a portable restroom. (2009, 34 sec)
Tightly -  Once again Backkom needss to change into Super Backkom with the portable restroom. This time someone else is using it. (2009, 43 sec)
Super Backkom Technology Test Video - Super Backkom fighting a water monster and rescuing a girl who closely resembles the rescued girl in the Makera Demo. (2012, 63 sec)
Backkom Separate Garbage Animation - Backkom trying to separate his garbage. (2013, 90 sec)",ONA,8.0,Finished Airing,2007,2013,Unknown,Unknown,RG Animation Studios,Original,Comedy,Super Power,Kids,49.0,G - All Ages,5.801,181.0,99242.0,14402,436,0,2007.0
14691,5260,Pankunchi,ぱんくんち,Unknown,"Pankun is a baby panda who was abandoned in a forest where pandas live. His favorite possession is an old mitten that was in the box with him when he was abandoned. Pankun loves bread, and his tummy rumbles whenever he sees the two pieces of bread, Shokupan and Koppepan.

(Source: AniDB)",ONA,10.0,Finished Airing,2007,Not Available,San-X,Unknown,Unknown,Unknown,Adventure,Anthropomorphic,Kids,1.0,G - All Ages,5.901,120.0,95532.0,14713,402,0,2007.0
20305,44581,Tuzi Nali Pao,兔子哪里跑,Kungfu Bunny 2,Unknown,ONA,1.0,Finished Airing,2007,Not Available,Unknown,Unknown,Unknown,Original,Comedy,Unknown,Unknown,5.0,G - All Ages,,,157532.0,20333,45,0,2007.0
19396,39189,Te Ke Dong Ji Pian,Unknown,Unknown,Unknown,ONA,54.0,Finished Airing,2007,Unknown,Unknown,Unknown,Unknown,Unknown,Action,Unknown,Unknown,,None,,,154712.0,19423,79,0,2007.0
14795,29971,Landmark,landmark,Unknown,Short animation by Taro Shinkai.,ONA,1.0,Finished Airing,2007,Not Available,Unknown,Unknown,Unknown,Original,Avant Garde,Unknown,Unknown,4.0,G - All Ages,4.311,194.0,129812.0,14818,394,0,2007.0
20649,44505,Yunduan Di Rizi,云端的日子,Unknown,Unknown,ONA,26.0,Finished Airing,2007,Not Available,Unknown,Unknown,Unknown,Original,Romance,Unknown,Unknown,12.0,PG-13 - Teens 13 or older,,,164962.0,20678,35,0,2007.0
12102,30916,The Five Killers,THE FIVE KILLERS,Unknown,"The Five Killers was supposed to be an original creation from writer/producer Eric Calderon as an animated TV series (12 episodes with a 1 hour finale) done by Gonzo. The designs were created by manga artist Maeshima Shigeki and the trailer was done under the direction of Trinity Blood director Hirata Tomohiro. The trailer is unfortunately all that came out of this project due to GDH's alarming financial situation.

(Source: AniDB)",ONA,1.0,Finished Airing,2007,Not Available,Unknown,Unknown,Gonzo,Original,Action,Unknown,Unknown,1.0,PG-13 - Teens 13 or older,6.031,357.0,89472.0,12115,935,2,2007.0
13630,14519,Neko Ramen: Ore no Shouyu Aji,猫ラーメン ～俺の醤油味～,Unknown,The second season of Neko Ramen.,ONA,13.0,Finished Airing,2008,Not Available,Think Corporation,Unknown,Unknown,4-koma manga,"Comedy, Gourmet","Anthropomorphic, Gag Humor, Workplace",Unknown,2.0,G - All Ages,5.921,156.0,94512.0,13648,557,1,2008.0
