Start_Aired,Genres,count
1969-04-01,Unknown,1
1969-04-02,Action,1
1969-04-04, Slice of Life,1
1969-04-04,Comedy,1
1969-04-06,Action,2
1969-04-06, Adventure,2
1969-04-06, Supernatural,1
1969-04-28,Slice of Life,1
1969-06-14, Fantasy,1
1969-06-14,Adventure,1
1969-07-20,Adventure,1
1969-07-20, Drama,1
1969-07-20, Sci-Fi,1
1969-07-22, Adventure,1
1969-07-22,Action,1
1969-07-26, Sports,1
1969-07-26,Drama,1
1969-09-29, Drama,1
1969-09-29,Action,1
1969-09-29,Comedy,1
1969-10-02,Action,1
1969-10-02, Sports,1
1969-10-02, Drama,1
1969-10-05,Comedy,2
1969-10-05, Slice of Life,2
1969-10-05, Fantasy,2
1969-10-05, Comedy,1
1969-10-05,Adventure,1
1969-10-20,Unknown,1
1969-10-29, Hentai,1
1969-10-29,Action,1
1969-11-06,Drama,1
1969-11-06, Sports,1
1969-12-01,Unknown,1
1969-12-07,Drama,1
1969-12-07, Sports,1
1969-12-20, Sports,1
1969-12-20,Drama,1
1970-01-01,Unknown,3
1970-01-01,Comedy,2
1970-01-01,Avant Garde,2
1970-01-01, Comedy,1
1970-01-01,Action,1
1970-02-03,Unknown,1
1970-03-17,Adventure,2
1970-03-17, Drama,1
1970-03-17, Slice of Life,1
1970-03-17,Sports,1
1970-03-21,Drama,2
1970-03-21, Sports,2
1970-03-21,Fantasy,1
1970-03-30,Comedy,1
1970-03-30,Unknown,1
1970-04-01, Sports,1
1970-04-01,Action,1
1970-04-01, Slice of Life,1
1970-04-01, Drama,1
1970-04-03, Sports,1
1970-04-03,Comedy,1
1970-04-05,Comedy,1
1970-04-07, Comedy,1
1970-04-07, Drama,1
1970-04-07,Adventure,1
1970-04-13,Sports,1
1970-06-02,Unknown,1
1970-06-10,Unknown,1
1970-07-01,Adventure,1
1970-07-19, Fantasy,1
1970-07-19,Adventure,1
1970-07-19,Sports,1
1970-08-01, Sports,2
1970-08-01,Drama,2
1970-08-01,Unknown,1
1970-09-03, Slice of Life,1
1970-09-03,Comedy,1
1970-09-15,Sci-Fi,1
1970-09-28,Action,1
1970-09-28, Sports,1
1970-10-01,Unknown,1
1970-10-02,Sports,1
1970-10-04, Sports,1
1970-10-04,Comedy,1
1970-10-05,Comedy,1
1970-10-06,Unknown,1
1970-10-07, Slice of Life,1
1970-10-07,Comedy,1
1970-11-02, Romance,1
1970-11-02,Fantasy,1
1970-12-19, Sports,1
1970-12-19,Drama,1
1970-12-19,Unknown,1
1971-01-01,Avant Garde,11
1971-01-01,Unknown,4
1971-01-01,Drama,3
1971-01-01,Comedy,1
1971-01-01,Action,1
1971-01-03, Fantasy,1
1971-01-03,Drama,1
1971-02-03,Unknown,1
1971-02-15, Comedy,1
1971-02-15,Adventure,1
1971-03-17, Sports,1
1971-03-17,Drama,1
1971-03-20,Action,1
1971-03-20,Adventure,1
1971-03-20, Adventure,1
1971-04-03,Unknown,1
1971-04-08,Drama,1
1971-06-03,Unknown,1
1971-07-18,Action,1
1971-07-18, Fantasy,1
1971-08-01,Adventure,1
1971-09-01, Slice of Life,1
1971-09-01, Supernatural,1
1971-09-01,Comedy,1
1971-09-01,Unknown,1
1971-09-24,Hentai,1
1971-09-25, Slice of Life,1
1971-09-25,Comedy,1
1971-10-01,Comedy,1
1971-10-03,Unknown,1
1971-10-04,Comedy,1
1971-10-06, Sports,2
1971-10-06,Action,1
1971-10-06,Comedy,1
1971-10-07, Supernatural,1
1971-10-07,Adventure,1
1971-10-08,Unknown,1
1971-10-14,Action,1
1971-10-14, Sci-Fi,1
1971-10-24, Adventure,1
1971-10-24, Comedy,1
1971-10-24, Mystery,1
1971-10-24,Action,1
1971-10-30,Action,1
1971-10-30, Adventure,1
1971-10-30, Romance,1
1971-10-30, Sci-Fi,1
1971-12-02,Unknown,1
1971-12-03,Unknown,1
1971-12-12,Drama,1
1972-01-01,Unknown,5
1972-01-01,Avant Garde,4
1972-01-01,Fantasy,3
1972-01-01,Action,1
1972-01-01,Comedy,1
1972-01-01,Drama,1
1972-01-01,Supernatural,1
1972-01-01, Supernatural,1
1972-01-01, Horror,1
1972-01-04, Fantasy,1
1972-01-04,Adventure,1
1972-01-09, Fantasy,1
1972-01-09, Slice of Life,1
1972-01-09,Adventure,1
1972-01-09, Comedy,1
1972-01-10, Mystery,1
1972-01-10,Action,1
1972-02-01,Unknown,2
1972-02-04,Unknown,1
1972-03-01,Avant Garde,1
1972-03-18, Fantasy,1
1972-03-18,Adventure,1
1972-04-01,Adventure,1
1972-04-01, Fantasy,1
1972-04-03,Adventure,1
1972-04-05,Adventure,1
1972-04-23,Sports,1
1972-07-08, Supernatural,1
1972-07-08,Action,1
1972-07-08, Horror,1
1972-07-16, Sci-Fi,1
1972-07-16,Action,1
1972-07-30,Unknown,1
1972-08-27,Romance,1
1972-10-01, Adventure,1
1972-10-01, Sci-Fi,1
1972-10-01,Action,1
1972-10-04, Sci-Fi,1
1972-10-04,Action,1
1972-10-05, Comedy,2
1972-10-05,Adventure,2
1972-10-05,Unknown,1
1972-10-07,Comedy,1
1972-10-07,Supernatural,1
1972-10-07, Slice of Life,1
1972-12-03,Action,1
1972-12-03, Drama,1
1972-12-03, Sci-Fi,1
1972-12-17,Comedy,1
1973-01-01,Unknown,7
1973-01-01,Avant Garde,2
1973-01-01,Fantasy,2
1973-01-01, Romance,1
1973-01-01, Sci-Fi,1
1973-01-01, Supernatural,1
1973-01-01,Adventure,1
1973-01-02, Fantasy,1
