Title,Japanese,Type,Studios,Start_Aired,Source,Popularity,Score,Members,Favorites,Genres
Sugar Sugar Rune,シュガシュガルーン,TV,Pierrot,2005-07-02,Manga,3176,7.471,37561,403,Fantasy
Gun x Sword,ガン×ソード,TV,AIC ASTA,2005-07-04,Original,2191,7.261,73005,326,"Action, Adventure, Drama, Sci-Fi"
Okusama wa Mahou Shoujo,奥さまは魔法少女,TV,J.C.Staff,2005-07-04,Original,5969,6.371,8976,11,Romance
Momonga-mon,ももんがぁモン,TV,Unknown,2005-07-04,Unknown,16745,,245,0,Adventure
Paniponi Dash!,ぱにぽにだっしゅ！,TV,Shaft,2005-07-04,Manga,2488,7.441,59186,409,Comedy
Akahori Gedou Hour Rabuge,あかほり外道アワーらぶげ,TV,Radix,2005-07-05,Original,7202,6.131,5592,5,Comedy
Play Ball,プレイボール,TV,Eiken,2005-07-05,Manga,11999,6.031,964,1,"Action, Sports"
Hametsu no Mars,破滅のマルス,OVA,WAO World,2005-07-06,Visual novel,2375,2.221,63722,289,"Horror, Sci-Fi"
Full Metal Panic! The Second Raid Episode 00,フルメタル パニック！The Second Raid 前夜祭「Scene00」,Special,Kyoto Animation,2005-07-06,Light novel,3173,7.391,37706,31,"Action, Adventure"
Gakkou no Kaidan (OVA),学校の怪談,OVA,"Trinet Entertainment, WAO World, Studio Ranmaru",2005-07-06,Unknown,11584,6.381,1131,2,"Comedy, Horror, Mystery, Supernatural"
Suzuka,涼風,TV,Studio Comet,2005-07-07,Manga,1672,7.191,110323,632,"Drama, Romance, Sports"
Tide-Line Blue,タイドライン・ブルー,TV,Telecom Animation Film,2005-07-07,Original,6561,6.611,7088,7,"Action, Adventure, Drama"
Mask Man,마스크맨,TV,Unknown,2005-07-07,Original,20855,,32,0,"Action, Adventure, Comedy, Sci-Fi"
Shadow Fighter,섀도우 파이터,TV,Unknown,2005-07-07,Unknown,19473,,76,0,Unknown
Shuffle!,SHUFFLE! (シャッフル!),TV,asread.,2005-07-08,Visual novel,770,7.041,266065,1426,"Comedy, Drama, Fantasy, Romance, Ecchi"
Shisha no Sho,死者の書,Movie,Unknown,2005-07-08,Unknown,10878,5.951,1493,3,"Drama, Supernatural"
PetoPeto-san,ぺとぺとさん,TV,XEBEC M2,2005-07-09,Light novel,6742,6.511,6655,8,"Comedy, Romance"
Kuwagata Tsumami,くわがたツマミ,ONA,Unknown,2005-07-10,Original,16871,,238,1,Comedy
Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,TV,Kyoto Animation,2005-07-14,Light novel,818,7.931,249064,1247,Action
Ichigo Mashimaro,苺ましまろ,TV,Daume,2005-07-15,4-koma manga,1900,7.631,92375,824,"Comedy, Slice of Life"
Kahei no Umi,嘉兵衛の海,Movie,Doga Kobo,2005-07-16,Original,16157,,288,0,Unknown
Sore Ike! Anpanman: Kuroyuki-hime to Mote Mote Baikinman,それいけ!アンパンマン くろゆき姫とモテモテばいきんまん,Movie,Unknown,2005-07-16,Unknown,15661,,321,0,"Comedy, Fantasy"
Sore Ike! Anpanman: Happy no Daibouken,それいけ! アンパンマン ハピーの大冒険,Movie,TMS Entertainment,2005-07-16,Unknown,15317,,350,0,Comedy
Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,ポケットモンスターアドバンスジェネレーション ミュウと波導の勇者 ルカリオ,Movie,OLM,2005-07-16,Game,1700,7.311,108434,115,"Action, Adventure, Drama, Fantasy"
Pozzie,ポッツィー,Special,Unknown,2005-07-18,Unknown,17085,,225,0,Unknown
Tottoko Hamtarou: Hiragana Tanken,とっとこハム太郎ひらがなたんけん,OVA,Unknown,2005-07-20,Manga,14124,6.031,474,0,Unknown
Seikai no Senki II Special,星界の戦旗II 特別篇,Special,Sunrise,2005-07-22,Light novel,12789,6.181,745,1,"Action, Romance, Sci-Fi"
Lupin III: Tenshi no Tactics - Yume no Kakera wa Koroshi no Kaori,ルパン三世 - 天使の策略（タクティクス）～夢のカケラは殺しの香り～,Special,TMS Entertainment,2005-07-22,Unknown,6911,6.991,6223,1,"Action, Adventure, Comedy, Mystery"
Koi Koi 7 Specials,こいこい7,Special,Unknown,2005-07-22,Unknown,9681,5.801,2315,0,"Comedy, Ecchi"
Fullmetal Alchemist: The Conqueror of Shamballa,劇場版 鋼の錬金術師 シャンバラを征く者,Movie,Bones,2005-07-23,Manga,633,7.521,313509,598,"Comedy, Drama, Fantasy"
Bible Black Only Version,バイブルブラック・オンリー版,OVA,Studio Jam,2005-07-25,Visual novel,4504,6.751,18116,62,Hentai
Bible Black: Imari Ryoujoku Genba,バイブルブラック「伊万里 凌辱現場」,Special,Studio Jam,2005-07-25,Visual novel,5103,6.461,13241,30,Hentai
Platonic Chain: Ansatsu Jikkouchuu,プラトニックチェーン 暗殺実行中,Special,Unknown,2005-07-25,Novel,14596,,415,0,"Sci-Fi, Slice of Life"
Akuei to Gacchinpo: Tenkomori - Maboroshi no Omake Episode,アークエとガッチンポー てんこもり 幻のおまけエピソード,Special,Unknown,2005-07-27,Unknown,16961,,232,0,Comedy
Greek Roman Sinhwa: Olympus Guardian (Movie),그리스 로마 신화-올림포스 가디언,Movie,Unknown,2005-07-28,Other,14116,5.631,475,0,"Adventure, Fantasy"
Weiqi Shaonian,围棋少年,TV,Unknown,2005-07-28,Original,13242,6.421,641,2,Unknown
Yakin Byoutou San,夜勤病棟・参,OVA,AT-2,2005-07-29,Visual novel,7543,6.161,5051,6,Hentai
Detective Conan: Conan vs. Kid - Shark & Jewel,名探偵コナン コナンvsキッド SHARK & JEWEL,Movie,Unknown,2005-07-29,Unknown,6325,7.571,7805,1,"Adventure, Comedy, Mystery"
Inko,淫娘 ~いんこ~,OVA,Anime Antenna Iinkai,2005-07-29,Original,7539,5.611,5059,4,Hentai
Inbo,淫母 －いんぼ－,OVA,Anime Antenna Iinkai,2005-07-29,Original,7256,6.071,5491,16,Hentai
Tsuma Tsuma,人妻x人妻[つまつま],OVA,Studio Ten,2005-07-29,Visual novel,8017,6.311,4311,8,Hentai
Fushigiboshi no☆Futagohime: Marugoto DVD,ふしぎ星の☆ふたご姫姫 まるごとDVD,OVA,Hal Film Maker,2005-07-31,Manga,15746,,315,0,Unknown
Pokemon: Pikachu no Obake Carnival,ピカチュウのおばけカーニバル,Special,OLM,2005-08-01,Game,6796,6.271,6527,3,"Adventure, Comedy, Fantasy"
Tomorrow's Song,トゥモロウズ ソング,Music,Unknown,2005-08-03,Original,12601,5.901,795,0,Unknown
Xi Yangyang Yu Hui Tailang,喜羊羊与灰太狼,TV,Unknown,2005-08-03,Unknown,12714,6.241,764,4,"Adventure, Comedy"
Oden-kun,おでんくん,TV,Unknown,2005-08-04,Picture book,14878,,388,1,Comedy
Cell no Koi,セルの恋,Music,Unknown,2005-08-04,Original,16087,5.501,293,0,Unknown
"Rinkan Gakuen: Yamete! ...Okaasan, Minaide!",輪奸学園「やめてっ! …お母さん、見ないで!」,OVA,Himajin Planning,2005-08-05,Visual novel,8899,5.331,3081,5,Hentai
Hong Haier: Juezhan Huoyanshan,紅孩兒 決戰火焰山,Movie,Unknown,2005-08-05,Original,16823,,241,0,"Action, Adventure, Comedy, Fantasy"
Saishuu Heiki Kanojo: Another Love Song,最終兵器彼女Another Love Song,OVA,Studio Fantasia,2005-08-05,Manga,4583,7.071,17415,17,"Drama, Romance, Sci-Fi"
Kyoushoku Soukou Guyver (2005),強殖装甲ガイバー,TV,OLM,2005-08-06,Manga,4214,7.231,20882,140,"Adventure, Sci-Fi"
Seikai no Senki III,星界の戦旗 III,OVA,Sunrise,2005-08-06,Light novel,4643,7.651,16804,54,"Action, Romance, Sci-Fi"
Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,劇場版 NARUTO 大激突！幻の地底遺跡だってばよ,Movie,Pierrot,2005-08-06,Manga,936,6.871,217432,158,"Action, Adventure, Fantasy"
Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu,劇場版 金色のガッシュベル!! メカバルカンの来襲,Movie,Toei Animation,2005-08-06,Unknown,6676,7.111,6803,4,"Adventure, Supernatural"
Daishikkin Helena,大失禁へレナ,OVA,Y.O.U.C,2005-08-12,Original,7703,5.821,4784,8,Hentai
Wanghu Sim Cheong,왕후 심청,Movie,Unknown,2005-08-12,Unknown,13698,,545,2,Fantasy
Boku no Boukuugou,ぼくの防空壕,Special,Shin-Ei Animation,2005-08-13,Novel,12921,6.051,717,2,Drama
Jishu Seisaku Movie Binchou-tan,自主制作ムービー びんちょうタン,Music,Ishikawa Pro,2005-08-14,Manga,9555,6.041,2428,0,Slice of Life
Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,ツバサ・クロニクル 鳥カゴの国の姫君,Movie,Production I.G,2005-08-20,Unknown,2890,7.311,44276,64,"Action, Adventure, Drama, Fantasy"
3-tsu no Kumo,３つの雲,Movie,Unknown,2005-08-20,Original,10292,4.671,1875,2,Avant Garde
xxxHOLiC Movie: Manatsu no Yoru no Yume,劇場版 ×××HOLiC 真夏ノ夜ノ夢,Movie,Production I.G,2005-08-20,Manga,2407,7.941,62344,112,"Comedy, Drama, Mystery, Supernatural"
Majokko Tsukune-chan,魔女っ娘つくねちゃん,OVA,Xebec,2005-08-24,Manga,8972,6.591,3006,6,Comedy
Boin,boin ボイン,OVA,Shindeban Film,2005-08-25,Visual novel,5234,6.561,12460,42,Hentai
Nikuyome: Takayanagi Ke no Hitobito,肉嫁 高柳家の人々,OVA,Studio Soul,2005-08-25,Manga,6129,6.961,8432,114,Hentai
Prayers,プレイヤーズ,OVA,PPM,2005-08-26,Original,11078,5.371,1377,0,Sci-Fi
Air in Summer,AIR イン サマー,Special,Kyoto Animation,2005-08-28,Visual novel,3094,7.301,39540,37,"Comedy, Drama, Romance, Supernatural"
Hotori: Tada Saiwai wo Koinegau,ほとり～たださいわいを希う,Special,Sunrise,2005-08-28,Unknown,7050,6.861,5933,7,"Drama, Sci-Fi"
Astro Boy: Tetsuwan Atom - 10-man Kounen no Raihousha - IGZA,ASTRO BOY 鉄腕アトム 10万光年の来訪者・IGZA,Movie,Unknown,2005-09-01,Manga,12211,6.381,907,0,Sci-Fi
Navia Dratp,NAVIA DRATP,ONA,Unknown,2005-09-02,Other,13614,4.801,563,0,Fantasy
Umbrella Fighter!,アンブレラ ファイター！,Special,Unknown,2005-09-07,Original,17588,,198,0,Slice of Life
Glass no Usagi,ガラスのうさぎ,Movie,Magic Bus,2005-09-09,Book,9676,6.601,2319,0,Unknown
Nagasaki 1945: Angelus no Kane,NAGASAKI・1945 アンゼラスの鐘,Movie,Mushi Production,2005-09-09,Book,11569,6.561,1135,0,Drama
Soratobu Toshi Keikaku,空飛ぶ都市計画,Music,Studio Kajino,2005-09-10,Music,10284,5.961,1879,3,Sci-Fi
Monkey Punch: Manga Katsudou Daishashin - Crime Mate Special,モンキー・パンチ 漫画活動大写真,Special,TMS Entertainment,2005-09-14,Unknown,13067,5.601,681,0,"Action, Comedy, Ecchi"
Tenchi Muyou! Ryououki 3rd Season: Tenchi Seirou naredo Namitakashi?,天地無用！魎皇鬼 第三期 天地晴朗なれど波高し？,OVA,AIC,2005-09-14,Original,5460,7.211,11132,14,"Action, Comedy, Sci-Fi"
Final Fantasy VII: Advent Children,ファイナルファンタジーVII アドベントチルドレン,Movie,Square Enix,2005-09-14,Game,990,7.731,205624,1079,"Action, Fantasy"
Final Fantasy VII: Last Order,ラストオーダー -ファイナルファンタジーVII-,Special,Madhouse,2005-09-14,Game,2371,7.301,63971,131,"Action, Adventure, Drama, Fantasy, Sci-Fi"
Final Fantasy VII: Advent Children - Venice Film Festival Footage,FINAL FANTASY VII ADVENT CHILDREN ヴェネチア映画祭版,Movie,Unknown,2005-09-14,Game,5379,7.521,11538,15,"Action, Drama, Fantasy, Sci-Fi"
Sukima no Kuni no Polta,スキマの国のポルタ,TV,Unknown,2005-09-15,Unknown,14541,5.781,420,2,Fantasy
Fluximation,FLUXIMATION,Music,Studio 4°C,2005-09-20,Unknown,8483,6.431,3607,1,Unknown
Harukanaru Toki no Naka de: Hachiyou Shou Specials,遙かなる時空の中で〜八葉抄〜 1〜9,Special,Yumeta Company,2005-09-23,Visual novel,9263,6.331,2708,2,"Fantasy, Romance, Supernatural"
Fantastic Children: Befort no Kodomo-tachi no Sonogo,ファンタジックチルドレン ベフォールの子供たちのその後,Special,Nippon Animation,2005-09-23,Unknown,10250,6.891,1900,2,Slice of Life
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man,攻殻機動隊 Stand Alone Complex - The Laughing Man,Special,Production I.G,2005-09-23,Manga,3148,8.071,38315,53,"Action, Mystery, Sci-Fi"
Koukaku Kidoutai: Stand Alone Complex - The Laughing Man - Tachikoma na Hibi,攻殻機動隊 Stand Alone Complex - The Laughing Man タチコマな日々,Special,Production I.G,2005-09-23,Unknown,6941,6.701,6163,1,"Comedy, Sci-Fi"
Byulbyul Iyagi,별별 이야기 -차별에 대한 유쾌한 풍자-,Movie,Unknown,2005-09-23,Unknown,14305,5.671,449,0,Drama
Suki na Mono wa Suki Dakara Shou ga Nai!!: Onsen ni Ikou!,好きなものは好きだからしょうがない!! 温泉に行こう!,Special,Zexcs,2005-09-23,Visual novel,8294,6.261,3885,2,"Boys Love, Comedy, Slice of Life"
Gintama: Nanigoto mo Saiyo ga Kanjin nano de Tasho Senobisuru Kurai ga Choudoyoi,銀魂〜何事も最初が肝心なので多少背伸びするくらいが丁度良い〜,Special,Sunrise,2005-09-24,Manga,2640,8.081,52753,67,"Action, Comedy, Sci-Fi"
Idaten Jump,韋駄天翔(ジャンプ),TV,Trans Arts,2005-10-01,Manga,4749,7.171,15917,149,Sports
Sen no Hana Sen no Sora,千の花 千の空,Music,Unknown,2005-10-01,Original,18009,,172,0,Fantasy
Yume Miru Jump,夢見るジャンプ,Music,Unknown,2005-10-01,Original,18720,,129,0,Unknown
Yubikiri,ゆびきり,Music,Unknown,2005-10-01,Original,15986,5.261,300,0,Unknown
Rockman.EXE Beast,ロックマン エグゼ ＢＥＡＳＴ,TV,Xebec,2005-10-01,Game,6373,7.041,7680,15,"Action, Adventure, Sci-Fi"
Shigeo wa Handsome,茂雄はハンサム,ONA,Unknown,2005-10-01,Original,12575,4.861,802,4,"Comedy, Drama"
Happy Seven: The TV Manga,はっぴぃセブン ～ざ・テレビまんが～,TV,Studio Hibari,2005-10-02,Light novel,7489,6.301,5138,7,"Comedy, Fantasy"
Canvas 2: Niji-iro no Sketch,Canvas2 ～虹色のスケッチ～,TV,Zexcs,2005-10-02,Visual novel,3826,6.741,25960,46,"Comedy, Drama, Romance, Slice of Life"
Mahou Shoujo Lyrical Nanoha A's,魔法少女リリカルなのは エース,TV,Seven Arcs,2005-10-02,Original,2417,7.971,61926,975,"Action, Comedy, Drama"
Card Wang: Mix Master,카드왕 믹스마스터,TV,Nippon Animation,2005-10-04,Unknown,10565,6.291,1696,7,"Adventure, Fantasy"
To Heart 2,トゥハート2,TV,OLM,2005-10-04,Visual novel,4307,6.481,19933,33,"Comedy, Drama, Romance, Slice of Life"
Angel Heart,エンジェル・ハート,TV,TMS Entertainment,2005-10-04,Manga,4664,7.261,16665,76,"Action, Drama, Mystery, Romance"
Gunparade Orchestra,ガンパレード・オーケストラ,TV,Brain's Base,2005-10-04,Game,7860,5.841,4533,3,"Drama, Romance, Sci-Fi, Slice of Life"
Animal Yokochou,アニマル横町,TV,Gallop,2005-10-04,Manga,9184,7.101,2782,12,"Adventure, Comedy, Fantasy"
Capeta,カペタ,TV,Studio Comet,2005-10-04,Manga,3929,7.821,24551,271,Unknown
Cluster Edge,CLUSTER EDGE（クラスターエッジ）,TV,Sunrise,2005-10-05,Original,5638,6.311,10254,12,"Action, Fantasy, Sci-Fi"
D.C.S.S: Da Capo Second Season Omake,D.C. ～ダ・カーポ～ セコンドシースン Omake,Special,feel.,2005-10-05,Visual novel,6750,6.541,6640,3,"Comedy, Romance"
Jigoku Shoujo,地獄少女,TV,Studio Deen,2005-10-05,Original,594,7.621,334049,2991,"Horror, Mystery, Supernatural"
Touhai Densetsu Akagi: Yami ni Maiorita Tensai,闘牌伝説アカギ 闇に舞い降りた天才,TV,Madhouse,2005-10-05,Manga,1864,7.931,95345,1161,Suspense
Aria the Animation,ARIA The ANIMATION,TV,Hal Film Maker,2005-10-06,Manga,1310,7.681,151270,2024,"Fantasy, Sci-Fi, Slice of Life"
IGPX: Immortal Grand Prix (2005),IGPX -Immortal Grand Prix-,TV,Production I.G,2005-10-06,Original,4416,7.081,18965,81,"Action, Drama, Sci-Fi"
Shakugan no Shana,灼眼のシャナ,TV,J.C.Staff,2005-10-06,Light novel,361,7.461,512075,4925,"Action, Drama, Fantasy, Romance, Supernatural"
Kotencotenco,こてんこてんこ,TV,I-move,2005-10-06,Unknown,15030,,373,1,"Adventure, Comedy, Fantasy"
Bouken Ou Beet Excellion,冒険王ビィト エクセリオン,TV,Toei Animation,2005-10-06,Manga,6439,6.681,7454,6,"Adventure, Fantasy, Supernatural"
Mai-Otome,舞-乙HiME,TV,Sunrise,2005-10-07,Original,2738,7.281,49317,299,"Comedy, Drama, Fantasy"
Black Cat (TV),ブラックキャット,TV,Gonzo,2005-10-07,Manga,795,7.341,257437,1741,"Adventure, Comedy, Sci-Fi"
Solty Rei,ソルティレイ,TV,"Gonzo, AIC",2005-10-07,Original,3679,7.261,28179,123,"Action, Sci-Fi"
Blood+,ブラッドプラス,TV,Production I.G,2005-10-08,Original,542,7.631,356708,4210,"Action, Drama, Horror, Mystery, Supernatural"
Ginban Kaleidoscope,銀盤カレイドスコープ,TV,Karaku,2005-10-09,Light novel,2790,7.311,47301,152,"Drama, Romance, Sports, Supernatural"
Kakutou Bijin Wulong,格闘美神 武龍,TV,TMS Entertainment,2005-10-10,Manga,7162,6.551,5662,6,"Action, Ecchi"
Omedetou Jesus-sama,おめでとうイエスさま,OVA,Unknown,2005-10-11,Novel,16243,,282,3,Unknown
Lamune,ラムネ,TV,"Trinet Entertainment, Picture Magic",2005-10-11,Visual novel,3061,6.801,40137,65,"Drama, Romance, Slice of Life"
Noein: Mou Hitori no Kimi e,ノエイン もうひとりの君へ,TV,Satelight,2005-10-12,Original,1984,7.581,86668,714,"Adventure, Drama, Sci-Fi, Slice of Life"
Chibo,痴母,OVA,Y.O.U.C,2005-10-14,Original,6355,5.881,7727,20,Hentai
Paradise Kiss,Paradise kiss,TV,Madhouse,2005-10-14,Manga,1020,7.851,200042,3773,"Comedy, Drama, Romance, Slice of Life"
Wakusei Daikaiju Negadon,惑星大怪獣 ネガドン,Movie,Unknown,2005-10-16,Original,10955,5.341,1445,1,"Action, Fantasy, Sci-Fi"
Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance,キノの旅 -the Beautiful World- 塔の国 -Free Lance-,Special,A.C.G.T.,2005-10-19,Light novel,3244,7.571,36113,21,"Adventure, Fantasy, Suspense"
Rozen Maiden: Träumend,ローゼンメイデン トロイメント,TV,Nomad,2005-10-21,Manga,1797,7.621,100671,445,"Action, Comedy, Drama"
Gun x Sword-san,ガン×ソードさん,Special,AIC ASTA,2005-10-21,Unknown,8969,5.641,3008,1,"Action, Avant Garde"
Koukyoushihen Eureka Seven: Kinkyuu Tokuban Navigation ray=out,交響詩篇エウレカセブン 緊急特番 ナビゲーション ray=out,Special,Bones,2005-10-22,Original,5302,6.941,12009,10,Sci-Fi
Kochira Katsushikaku Kameari Kouenmae Hashutsujo: Ryou-san to Chuuken Lucky Monogatari - Kameari Dai Houimou wo Kawase!!,こちら葛飾区亀有公園前派出所 両さんと忠犬ラッキー物語 〜亀有大包囲網をかわせ!!,Special,Unknown,2005-10-23,Manga,13911,6.361,511,0,Comedy
Mushishi,蟲師,TV,Artland,2005-10-23,Manga,202,8.671,757192,25017,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural"
Street Fighter Alpha: Generations,ストリートファイターALPHAジェネレーション,Movie,APPP,2005-10-25,Game,5080,6.471,13357,14,Adventure
Ryoujoku Hitozuma Onsen,凌辱人妻温泉,OVA,"Kazuki Production, Studio March",2005-10-25,Visual novel,7974,6.451,4357,10,Hentai
Sora Tobu Nekozakana,そらとぶねこざかな,OVA,Unknown,2005-10-28,Picture book,20908,,31,0,Comedy
Maid in Heaven SuperS,MAID iN HEAVEN SuperS,OVA,Shinkuukan,2005-10-28,Visual novel,6174,6.391,8270,29,Hentai
Nekozakana,ねこざかな,OVA,Unknown,2005-10-28,Picture book,20859,,32,0,Comedy
Tarou no Odekake,たろうのおでかけ,OVA,Unknown,2005-10-28,Picture book,21240,,25,0,Adventure
Dae Jang Geum: Jang Geum's Dream,少女チャングムの夢,TV,Unknown,2005-10-29,Other,8241,7.111,3961,31,"Adventure, Comedy, Gourmet"
Mobile Suit Zeta Gundam: A New Translation II - Lovers,機動戦士ＺガンダムⅡ‐恋人たち‐,Movie,Sunrise,2005-10-29,Original,5547,6.981,10669,1,"Drama, Romance, Sci-Fi"
Loveless Specials,LOVELESS おはよう ラブレスくーん,Special,J.C.Staff,2005-11-01,Manga,4501,6.491,18141,26,"Boys Love, Comedy, Fantasy, Romance, Supernatural"
Soukyuu no Fafner: Arcadian Memory,蒼穹のファフナー Arcadian Memory,OVA,Xebec,2005-11-02,Original,9011,6.481,2949,0,"Action, Drama, Sci-Fi"
Ginga Densetsu Weed,銀牙伝説ウィード,TV,Studio Deen,2005-11-03,Manga,4932,7.231,14403,240,"Adventure, Drama"
Karin,かりん,TV,J.C.Staff,2005-11-03,Manga,1193,7.121,170308,746,"Comedy, Romance, Supernatural"
Talpy,タルピー,TV,Unknown,2005-11-04,Unknown,17554,,200,0,Fantasy
Gaiking: Legend of Daiku-Maryu,ガイキング Legend of Daiku-Maryu,TV,Toei Animation,2005-11-12,Original,7826,7.111,4589,15,"Action, Sci-Fi"
Monster Farm 5: Circus Caravan OVA - Kessei!! Orcoro Circus,モンスターファーム5 サーカスキャラバン オリジナルアニメーション 「結成!!オルコロサーカス」,OVA,Unknown,2005-11-16,Game,12461,5.391,833,1,"Action, Fantasy"
Dore Dore no Uta,金曜ロードショー オープニング映像,Music,Studio Ghibli,2005-11-16,Music,9034,5.711,2929,0,Unknown
Ghibli ga Ippai Special Short Short,ジブリがいっぱいSPECIAL ショート ショート,Special,Studio Ghibli,2005-11-16,Other,9788,5.711,2223,1,Slice of Life
Papa to Kiss in the Dark,パパとKISS IN THE DARK,OVA,TNK,2005-11-23,Light novel,2776,5.901,47963,123,"Boys Love, Comedy, Drama, Romance, Erotica"
Kamichu! Specials,かみちゅ!,Special,Brain's Base,2005-11-23,Original,5546,7.461,10671,4,"Comedy, Drama, Slice of Life, Supernatural"
Rebirth Moon Divergence,リバース ムーン ディバージェンス,OVA,Unknown,2005-11-23,Game,12977,4.871,704,0,"Action, Fantasy"
Innocent Blue,Innocent Blue,OVA,Unknown,2005-11-25,Visual novel,8491,5.741,3601,9,Hentai
"Nee, Chanto Shiyou Yo!",姉、ちゃんとしようよっ！,OVA,Studio 9 Maiami,2005-11-25,Visual novel,5270,6.931,12259,73,Hentai
Visions of Frank: Short Films by Japan's Most Audacious Animators,Visions of Frank Short Films by Japan's Most Audacious Animators,OVA,Unknown,2005-11-25,Unknown,12361,5.771,864,0,Avant Garde
Cambrian,カンブリアン,OVA,Studio Jam,2005-11-25,Manga,7929,5.701,4431,12,Hentai
Grasshopper Monogatari,グラスホッパー物語,Music,Unknown,2005-12-01,Original,16731,5.381,246,0,Unknown
Yawaraka Sensha,やわらか戦車,ONA,Unknown,2005-12-01,Unknown,15424,,341,1,Comedy
Kuro,クロ,Music,Creatures Inc.,2005-12-01,Original,16217,5.641,284,1,Unknown
King of Fighters: Another Day,ザ・キング・オブ・ファイターズ アナザーデイ,ONA,Production I.G,2005-12-02,Game,5280,6.291,12174,22,"Adventure, Drama"
Porong Porong Pororo 2,뽀롱뽀롱 뽀로로 2,TV,Unknown,2005-12-03,Unknown,14369,5.671,441,0,Unknown
Nanase Ren,七瀬恋 (アニメ),OVA,Flavors Soft,2005-12-04,Visual novel,7089,6.081,5842,16,Hentai
D.I.C.E.,ディノブレイカー,TV,Xebec,2005-12-06,Unknown,7839,6.321,4570,19,"Action, Adventure, Sci-Fi"
Itsudatte My Santa!,いつだってMyサンタ！,OVA,TNK,2005-12-07,Manga,5121,5.901,13109,11,"Comedy, Fantasy, Romance, Ecchi"
I''s Pure,アイズピュア,OVA,"Pierrot, Arms",2005-12-09,Manga,3889,6.861,25032,58,"Comedy, Drama, Romance, Ecchi"
Hitozuma♪Kasumi-san,人妻♪かすみさん,OVA,Executive Decision,2005-12-09,Visual novel,6103,6.751,8524,34,Hentai
Shoujo Auction,処女オークション,OVA,Y.O.U.C,2005-12-09,Original,9543,5.891,2434,4,Hentai
Ichitaka no Mousou Nikki,一貴の妄想日記,Special,"Pierrot, Arms",2005-12-09,Manga,6802,6.421,6511,2,"Comedy, Romance, Ecchi"
Futari wa Precure: Max Heart Movie 2 - Yukizora no Tomodachi,ふたりはプリキュア Max Heart2 雪空のともだち,Movie,Toei Animation,2005-12-10,Original,7056,7.081,5920,7,"Comedy, Fantasy"
Pale Cocoon,ペイル・コクーン,OVA,Studio Rikka,2005-12-10,Original,2310,7.301,66864,225,"Drama, Sci-Fi"
Arashi no Yoru ni,あらしのよるに,Movie,Group TAC,2005-12-10,Book,4142,7.661,21864,189,"Adventure, Comedy, Drama, Fantasy"
Major S2,メジャー (第2シリーズ),TV,Studio Hibari,2005-12-10,Manga,2296,8.201,67499,302,"Comedy, Drama, Sports"
Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,カレイドスター Legend of Phoenix ～レイラ・ハミルトン物語～,OVA,Gonzo,2005-12-11,Original,5036,7.851,13657,31,"Comedy, Drama"
Meng Li Ren,夢裡人,TV,Unknown,2005-12-12,Unknown,18450,,147,1,Drama
Passion,パッション,Music,Studio 4°C,2005-12-14,Unknown,8926,6.491,3052,5,Unknown
Irregular Hunter X: The Day of Sigma,イレギュラーハンターＸ,OVA,Xebec,2005-12-15,Game,5454,7.171,11174,54,"Action, Sci-Fi"
Rean no Tsubasa,リーンの翼,ONA,Sunrise,2005-12-16,Novel,8394,5.651,3747,1,"Fantasy, Sci-Fi"
Kyou Kara Maou! Recap,今日からマ王！ 大全集 その,Special,Unknown,2005-12-16,Light novel,11660,6.001,1100,0,"Adventure, Comedy, Fantasy"
Black Jack: Futari no Kuroi Isha,ブラック・ジャック ふたりの黒い医者,Movie,Tezuka Productions,2005-12-17,Manga,7787,7.161,4642,4,Drama
Black Jack: Dr. Pinoko no Mori no Bouken,ブラック・ジャック Dr. ピノコの森の冒険,Movie,Unknown,2005-12-17,Unknown,9817,6.191,2199,1,Comedy
Saint Beast: Ikusen no Hiru to Yoru-hen,セイント・ビースト～幾千の昼と夜 編～,OVA,Madhouse,2005-12-17,Unknown,8436,6.221,3680,6,Fantasy
Saint Seiya: Meiou Hades Meikai-hen,聖闘士星矢 冥王ハーデス冥界編,OVA,Toei Animation,2005-12-17,Manga,2807,7.741,46816,150,"Action, Adventure, Fantasy, Sci-Fi"
Black Jack: Futari no Kuroi Isha - Manner Movie,ブラック・ジャック ふたりの黒い医者,Movie,Unknown,2005-12-17,Manga,12083,5.791,943,0,Comedy
Kouchuu Ouja Mushiking: Greatest Champion e no Michi,劇場版甲虫王者ムシキング グレイテストチャンピオンへの道,Movie,TMS Entertainment,2005-12-17,Card game,14867,,390,0,Unknown
One Piece: Nenmatsu Tokubetsu Kikaku! Mugiwara no Luffy Oyabun Torimonochou,ワンピース 年末特別企画！麦わらのルフィ親分捕物帖,Special,Toei Animation,2005-12-18,Manga,3542,7.211,30451,21,"Comedy, Fantasy"
