Title,Japanese,Type,Studios,Start_Aired,Source,Popularity,Score,Members,Favorites,Genres
Kuro to Kin no Akanai Kagi.,黒と金の開かない鍵。,OVA,An DerCen,2013-02-28,Visual novel,5681,5.481,10080,33,Erotica
Kokuen,黒煙,Music,Unknown,2013-02-28,Music,16314,5.311,277,0,Drama
Tenpou Suikoden Neo,天保水滸伝NEO,TV,Kachidoki Studio,2013-02-28,Unknown,11788,4.971,1054,2,Unknown
Nozoki Ana,ノ・ゾ・キ・ア・ナ,OVA,Studio Fantasia,2013-02-28,Manga,2721,6.461,50168,134,"Comedy, Drama, Ecchi"
Kara The Animation,KARA THE ANIMATION,TV,Unknown,2013-03-01,Unknown,11591,5.201,1129,2,Action
Tenkousei wa Kounin Kaikeishi!,転校生は公認会計士！,OVA,TYO Animations,2013-03-01,Original,16789,,243,2,Slice of Life
AU: Kaixin Tongnian,阿U之开心童年,TV,Unknown,2013-03-01,Mixed media,20624,,36,0,Comedy
Tulou Tanxian: Niuniu He Niuniu,土楼探险之牛牛和妞妞,TV,Unknown,2013-03-01,Unknown,21380,,22,0,Fantasy
Ryo,龍-RYO-,Movie,Gonzo,2013-03-02,Original,5233,5.851,12472,4,"Action, Drama"
Little Witch Academia,リトルウィッチアカデミア,Movie,Trigger,2013-03-02,Original,681,7.811,297291,1290,"Adventure, Comedy, Fantasy"
Death Billiards,デス・ビリヤード,Movie,Madhouse,2013-03-02,Original,912,7.891,225003,323,"Drama, Supernatural, Suspense"
Arve Rezzle: Kikaijikake no Yousei-tachi,アルヴ・レズル -機械仕掛けの妖精たち-,Movie,Zexcs,2013-03-02,Light novel,3846,6.241,25611,15,"Action, Drama, Mystery, Sci-Fi, Suspense"
Tsun Tsun Maid wa Ero Ero Desu,ツンツンメイドはエロエロです,OVA,Studio 1st,2013-03-02,Light novel,4639,7.051,16860,82,Hentai
3-Nen C-Gumi 14-Ban Kubozono Chiyoko no Nyuukaku,3年C組14番窪園チヨコの入閣,Music,Unknown,2013-03-03,Original,11480,5.361,1177,1,Unknown
Nekomonogatari: Kuro Recap,「化物語」ダイジェストムービー,Special,Shaft,2013-03-06,Light novel,5552,6.851,10638,11,Supernatural
All Alone With You,All Alone With You,Music,8bit,2013-03-06,Music,4581,7.231,17430,53,Fantasy
Lalala Demacia Third Season,啦啦啦德玛西亚 第三季,ONA,Unknown,2013-03-06,Game,18385,,151,0,"Action, Fantasy"
Psychedelic Afternoon,PSYCHEDELIC AFTERNOON,Music,Unknown,2013-03-06,Original,11444,5.171,1204,0,Unknown
Pororo Hanguk-e Wass-eoyo,뽀로로가 한국에 왔어요,ONA,Unknown,2013-03-07,Unknown,15533,,332,0,Adventure
Kyoto Animation: Suiei-hen,京都アニメーションCM「水泳編」,Special,Kyoto Animation,2013-03-07,Original,5041,7.001,13605,8,Sports
Wingcle Bear Hamkkehaneun Lomentig Hwaiteudei,윙클베어와 함께하는 로멘틱 화이트데이,ONA,TUBA,2013-03-07,Other,15326,4.861,349,0,Unknown
Doraemon Movie 33: Nobita no Himitsu Dougu Museum,映画 ドラえもん のび太のひみつ道具博物館[ミュージアム],Movie,Shin-Ei Animation,2013-03-09,Unknown,6902,7.421,6242,4,"Adventure, Comedy, Fantasy"
"Maoyuu Maou Yuusha: Kono Monogatari wa, Daniku dake Dewanai no Ja!",まおゆう魔王勇者 この物語は、駄肉だけではないのじゃ！,Special,Arms,2013-03-09,Novel,3983,6.741,23787,20,"Adventure, Fantasy, Romance"
