anime_ID,Start_Aired,Genres
33116,1960-01-01,Fantasy
43272,1960-01-01,Unknown
33115,1960-01-01,Fantasy
52254,1960-01-01,Avant Garde
43280,1960-01-01,Unknown
43273,1960-01-01,Unknown
25173,1960-01-01,Unknown
43275,1960-01-01,Unknown
7020,1960-01-01,Avant Garde
7020,1960-01-01, Comedy
43271,1960-01-01,Unknown
43277,1960-01-01,Unknown
8774,1960-01-15,Fantasy
32693,1960-04-01,Unknown
4481,1960-08-14,Adventure
32225,1961-01-01,Unknown
32627,1961-01-01,Unknown
43283,1961-01-01,Unknown
33177,1961-01-01,Unknown
43284,1961-01-01,Unknown
23643,1961-01-01,Fantasy
22419,1961-01-01,Avant Garde
43346,1961-01-01,Unknown
29651,1961-01-01,Drama
7021,1961-01-01,Comedy
29898,1961-01-01,Sci-Fi
29927,1961-01-01,Unknown
7032,1961-01-01,Comedy
37074,1961-04-03,Unknown
14211,1961-05-01,Unknown
7610,1961-07-19,Fantasy
34406,1961-08-10,Unknown
43287,1962-01-01,Unknown
33343,1962-01-01,Fantasy
43286,1962-01-01,Unknown
43282,1962-01-01,Unknown
43347,1962-01-01,Unknown
33342,1962-01-01,Unknown
43344,1962-01-01,Unknown
29924,1962-01-01,Unknown
29928,1962-01-01,Unknown
43345,1962-01-01,Unknown
6953,1962-01-01,Avant Garde
23003,1962-04-22,Slice of Life
43598,1962-06-01,Unknown
7786,1962-06-16,Action
7786,1962-06-16, Adventure
7786,1962-06-16, Fantasy
14213,1962-06-25,Unknown
23005,1962-07-19,Slice of Life
17675,1962-08-25,Adventure
1982,1962-11-05,Slice of Life
1497,1962-11-05,Drama
1497,1962-11-05, Romance
37153,1962-12-05,Unknown
33484,1963-01-01,Action
43358,1963-01-01,Unknown
30886,1963-01-01,Unknown
29653,1963-01-01,Drama
29645,1963-01-01,Avant Garde
43357,1963-01-01,Unknown
29633,1963-01-01,Avant Garde
6535,1963-01-01,Avant Garde
6535,1963-01-01, Romance
43354,1963-01-01,Unknown
22391,1963-01-01,Avant Garde
33344,1963-01-01,Fantasy
2747,1963-01-01,Action
2747,1963-01-01, Adventure
2747,1963-01-01, Drama
2747,1963-01-01, Sci-Fi
43359,1963-01-01,Unknown
29635,1963-01-01,Comedy
29635,1963-01-01, Romance
24843,1963-02-05,Unknown
3905,1963-03-24,Adventure
3905,1963-03-24, Fantasy
43682,1963-06-01,Unknown
8041,1963-09-04,Comedy
8041,1963-09-04, Ecchi
2686,1963-10-20,Adventure
2686,1963-10-20, Sci-Fi
5052,1963-11-07,Action
5052,1963-11-07, Drama
5052,1963-11-07, Sci-Fi
17521,1963-11-25,Adventure
19981,1963-12-20,Adventure
23007,1963-12-21,Adventure
9228,1963-12-21,Action
9228,1963-12-21, Adventure
9228,1963-12-21, Drama
9228,1963-12-21, Fantasy
6855,1964-01-01,Adventure
43365,1964-01-01,Unknown
29655,1964-01-01,Unknown
3743,1964-01-01,Mystery
29647,1964-01-01,Avant Garde
43367,1964-01-01,Unknown
27993,1964-01-01,Adventure
27993,1964-01-01, Sci-Fi
43361,1964-01-01,Unknown
43360,1964-01-01,Unknown
43364,1964-01-01,Unknown
33485,1964-01-01,Unknown
43366,1964-01-01,Unknown
8663,1964-01-01,Avant Garde
8663,1964-01-01, Romance
6950,1964-01-01,Avant Garde
6950,1964-01-01, Fantasy
43363,1964-01-01,Unknown
12763,1964-01-21,Unknown
23009,1964-03-22,Adventure
13307,1964-06-07,Action
13307,1964-06-07, Adventure
30079,1964-06-26,Fantasy
19983,1964-07-21,Action
19983,1964-07-21, Adventure
10342,1964-07-26,Action
10342,1964-07-26, Adventure
10342,1964-07-26, Drama
10342,1964-07-26, Sci-Fi
24901,1964-08-03,Unknown
9613,1964-08-03,Action
9613,1964-08-03, Sci-Fi
24905,1964-08-03,Unknown
36382,1964-08-06,Unknown
1984,1964-09-21,Mystery
2047,1964-09-21,Fantasy
39874,1964-12-11,Unknown
29985,1965-01-01,Avant Garde
29637,1965-01-01,Drama
29637,1965-01-01, Romance
43373,1965-01-01,Unknown
43362,1965-01-01,Unknown
43369,1965-01-01,Unknown
43371,1965-01-01,Unknown
29929,1965-01-01,Unknown
13083,1965-01-01,Comedy
13083,1965-01-01, Slice of Life
7029,1965-01-01,Comedy
30767,1965-01-01,Action
30767,1965-01-01, Adventure
30767,1965-01-01, Comedy
30767,1965-01-01, Sci-Fi
7026,1965-01-01,Comedy
43372,1965-01-01,Unknown
43368,1965-01-01,Unknown
43370,1965-01-01,Unknown
15823,1965-01-03,Adventure
16159,1965-01-07,Action
16159,1965-01-07, Comedy
16159,1965-01-07, Sci-Fi
12897,1965-02-01,Sci-Fi
36356,1965-02-15,Unknown
2833,1965-03-20,Adventure
2833,1965-03-20, Sci-Fi
8879,1965-04-04,Action
8879,1965-04-04, Adventure
8879,1965-04-04, Sci-Fi
36360,1965-04-07,Unknown
19985,1965-04-08,Unknown
12887,1965-05-04,Action
12887,1965-05-04, Adventure
12887,1965-05-04, Sci-Fi
6989,1965-05-08,Action
6989,1965-05-08, Adventure
6989,1965-05-08, Sci-Fi
19987,1965-05-31,Adventure
19987,1965-05-31, Comedy
6448,1965-06-03,Action
6448,1965-06-03, Sci-Fi
4088,1965-06-06,Action
4088,1965-06-06, Adventure
4088,1965-06-06, Comedy
4088,1965-06-06, Sci-Fi
1547,1965-08-29,Comedy
1547,1965-08-29, Slice of Life
1547,1965-08-29, Supernatural
12295,1965-10-01,Adventure
1989,1965-10-01,Comedy
1572,1965-10-06,Adventure
19681,1965-11-01,Comedy
19681,1965-11-01, Fantasy
19989,1965-12-14,Action
19989,1965-12-14, Sci-Fi
13087,1966-01-01,Comedy
22413,1966-01-01,Unknown
29986,1966-01-01,Avant Garde
13085,1966-01-01,Comedy
13085,1966-01-01, Slice of Life
7031,1966-01-01,Fantasy
29649,1966-01-01,Avant Garde
33691,1966-01-01,Fantasy
9884,1966-02-05,Comedy
8719,1966-02-11,Slice of Life
8661,1966-04-05,Slice of Life
9438,1966-04-23,Action
9438,1966-04-23, Adventure
9438,1966-04-23, Sci-Fi
19505,1966-05-02,Adventure
17667,1966-05-05,Comedy
12767,1966-06-03,Sci-Fi
36378,1966-06-08,Unknown
23815,1966-06-12,Comedy
23815,1966-06-12, Fantasy
22221,1966-07-01,Unknown
6872,1966-07-21,Action
6872,1966-07-21, Adventure
6872,1966-07-21, Drama
6872,1966-07-21, Sci-Fi
20381,1966-07-31,Adventure
36357,1966-08-25,Unknown
19875,1966-10-04,Comedy
37190,1966-10-05,Unknown
2565,1966-10-05,Adventure
8897,1966-10-06,Action
8897,1966-10-06, Adventure
8897,1966-10-06, Sci-Fi
24903,1966-10-20,Unknown
3472,1966-11-11,Comedy
19991,1966-11-14,Comedy
19991,1966-11-14, Mystery
22241,1966-11-28,Adventure
3356,1966-12-05,Fantasy
27379,1966-12-31,Adventure
27379,1966-12-31, Sci-Fi
29677,1967-01-01,Drama
29597,1967-01-01,Comedy
7024,1967-01-01,Avant Garde
7024,1967-01-01, Comedy
34037,1967-01-01,Fantasy
10813,1967-01-01,Comedy
10813,1967-01-01, Drama
10813,1967-01-01, Slice of Life
29665,1967-01-01,Avant Garde
52766,1967-01-01,Drama
2687,1967-01-07,Comedy
2687,1967-01-07, Fantasy
16556,1967-01-21,Adventure
16556,1967-01-21, Fantasy
23911,1967-01-29,Adventure
23911,1967-01-29, Sci-Fi
5232,1967-02-15,Action
7290,1967-03-19,Action
7290,1967-03-19, Adventure
7290,1967-03-19, Sci-Fi
27377,1967-03-19,Unknown
9392,1967-03-19,Adventure
9392,1967-03-19, Fantasy
3900,1967-04-01,Action
3900,1967-04-01, Sci-Fi
47912,1967-04-01,Unknown
19993,1967-04-01,Adventure
19993,1967-04-01, Comedy
1445,1967-04-02,Adventure
6303,1967-04-02,Adventure
6303,1967-04-02, Comedy
3024,1967-04-02,Action
3024,1967-04-02, Fantasy
3024,1967-04-02, Mystery
3024,1967-04-02, Romance
8184,1967-04-04,Adventure
19995,1967-04-05,Adventure
19995,1967-04-05, Sci-Fi
36301,1967-06-08,Unknown
15873,1967-07-03,Comedy
22887,1967-07-21,Adventure
51245,1967-07-30,Fantasy
51245,1967-07-30, Slice of Life
37191,1967-08-07,Unknown
18309,1967-08-15,Action
18309,1967-08-15, Adventure
