Year,Type,Count
1973-06-01,Music,1
1973-06-13,Music,1
1973-06-18,Music,1
1973-06-30,Movie,1
1973-07-18,Movie,1
1973-08-16,Music,1
1973-10-01,TV,2
1973-10-02,TV,1
1973-10-03,TV,1
1973-10-04,TV,1
1973-10-05,TV,1
1973-10-06,TV,1
1973-10-07,TV,1
1973-10-13,TV,1
1973-12-03,Music,1
1974-01-01,Movie,13
1974-01-01,Special,1
1974-01-06,TV,1
1974-02-04,Music,1
1974-03-16,Movie,1
1974-04-01,TV,4
1974-04-02,TV,1
1974-04-03,TV,1
1974-04-04,Music,1
1974-04-04,TV,1
1974-04-05,TV,4
1974-06-03,Music,1
1974-06-05,Music,1
1974-06-06,Music,1
1974-06-24,TV,1
1974-07-20,Movie,1
1974-07-25,Movie,1
1974-08-01,Music,1
1974-09-08,TV,1
1974-09-30,TV,1
1974-10-03,Music,1
1974-10-04,TV,2
1974-10-05,TV,1
1974-10-06,TV,2
1974-10-13,TV,1
1974-10-15,TV,1
1974-12-04,Music,1
1975-01-01,Movie,13
1975-01-01,TV,1
1975-01-05,TV,1
1975-01-07,TV,1
1975-02-01,Music,1
1975-02-11,Movie,1
1975-03-21,Movie,3
1975-04-01,TV,1
1975-04-04,TV,2
1975-04-05,TV,1
1975-04-07,TV,1
1975-04-09,TV,1
1975-05-15,TV,1
1975-05-23,Movie,1
1975-06-04,Music,1
1975-06-21,Movie,1
1975-07-02,TV,1
1975-07-21,Movie,1
1975-07-26,Movie,1
1975-07-30,TV,1
1975-08-02,Music,1
1975-10-01,Movie,1
1975-10-01,Music,1
1975-10-01,TV,1
1975-10-03,TV,1
1975-10-04,TV,1
1975-10-05,TV,2
1975-10-06,Music,1
1975-10-06,TV,2
1975-10-07,TV,1
1975-10-15,TV,1
1975-12-02,Music,1
1975-12-05,Music,1
1976-01-01,Movie,12
1976-01-01,Music,2
1976-01-01,TV,1
1976-01-02,TV,1
1976-01-04,TV,1
1976-01-07,TV,1
1976-02-04,Music,1
1976-02-05,Music,1
1976-02-11,Movie,1
1976-03-20,Movie,2
1976-04-01,Music,1
1976-04-01,TV,2
1976-04-02,TV,1
1976-04-04,TV,1
1976-04-06,TV,1
1976-04-07,TV,1
1976-04-17,TV,1
1976-04-27,TV,1
1976-06-07,Music,1
1976-07-01,TV,1
1976-07-05,TV,1
1976-07-18,Movie,1
1976-07-24,Movie,1
1976-08-06,TV,1
1976-09-05,TV,1
1976-09-15,Movie,1
1976-10-01,Movie,1
1976-10-01,Music,2
1976-10-01,TV,3
1976-10-03,TV,3
1976-10-06,TV,1
1976-10-07,TV,2
1976-10-12,TV,1
1976-12-02,Music,1
1976-12-13,Movie,1
1977-01-01,Movie,12
1977-01-01,TV,2
1977-01-02,TV,1
1977-02-01,Music,1
1977-02-03,TV,1
1977-03-01,Movie,1
1977-03-03,TV,1
1977-03-06,TV,1
1977-03-19,Movie,1
1977-04-04,TV,1
1977-04-09,TV,1
1977-04-12,TV,1
1977-04-30,TV,1
1977-06-02,Music,1
1977-06-04,TV,1
1977-06-07,TV,1
1977-07-03,TV,1
1977-07-17,Movie,1
1977-07-20,Movie,1
1977-07-27,Movie,1
1977-08-01,Music,1
1977-08-04,Music,1
1977-08-06,Movie,1
1977-09-10,Movie,1
1977-09-12,TV,1
1977-09-18,TV,1
1977-09-22,TV,1
1977-10-01,Music,1
1977-10-01,TV,2
1977-10-02,TV,1
1977-10-03,Music,1
1977-10-03,TV,1
1977-10-04,TV,1
1977-10-05,TV,2
1977-10-07,TV,1
1977-10-08,TV,1
1977-10-10,TV,1
1977-10-29,TV,1
1977-11-18,TV,1
1977-12-05,Music,1
1977-12-06,Music,1
1977-12-08,Movie,1
1977-12-13,TV,1
1977-12-23,TV,1
1978-01-01,Movie,18
1978-01-01,TV,3
1978-01-05,Movie,1
1978-01-23,Movie,1
1978-02-01,Music,1
1978-02-04,Music,1
1978-02-07,Music,1
1978-03-06,TV,1
1978-03-11,Movie,1
1978-03-14,TV,1
1978-03-18,Movie,4
1978-04-01,TV,1
1978-04-02,TV,1
1978-04-04,TV,1
1978-04-05,Music,1
1978-04-10,TV,1
1978-05-06,TV,1
1978-06-03,TV,2
1978-07-04,TV,1
1978-07-15,Movie,1
1978-07-22,Movie,2
1978-07-23,Movie,1
1978-07-26,Movie,1
1978-07-27,TV,1
1978-07-31,Movie,1
1978-08-01,Music,1
1978-08-05,Movie,1
1978-08-27,Special,1
1978-09-14,TV,1
1978-09-23,Special,1
1978-10-01,TV,1
1978-10-05,Music,1
1978-10-06,Music,1
1978-10-06,TV,1
1978-10-08,TV,1
1978-10-14,TV,2
1978-10-24,TV,1
1978-11-07,TV,1
1978-12-02,Music,1
1978-12-07,Music,1
1978-12-16,Movie,2
1978-12-24,Special,1
1978-12-31,Special,1
1979-01-01,Movie,19
1979-01-01,Special,3
1979-01-01,TV,1
1979-01-04,TV,1
1979-01-07,Special,1
